探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
8,0.17,953591,5609358.82,200411,14622,720,6,-13.83,F4
8,0.20,1077103,5412577.89,229683,16861,1090,10,12.11,C3
10,2.43,12078959,4964635.84,2849667,213270,16566,1466,-10.51,F4
10,1.99,10167966,5122401.01,2206267,174151,15838,1062,8.42,C3
12,19.85,92809277,4675765.88,23767823,1958546,178857,134412,-7.68,F4
12,19.28,89269197,4631105.88,19984120,1648713,173677,95926,7.34,G3

E6F6F5D6C4G4G7B3F4G3
8,0.23,1280670,5472948.72,219815,16314,953,5,-9.59,C5
8,0.20,1132647,5552191.18,279286,17333,1574,19,10.52,C6
10,2.33,11474569,4933176.70,2019632,174583,12190,970,-7.81,C5
10,2.08,9454460,4549788.26,2597210,189577,21076,1128,7.47,C6
12,26.72,115941063,4338624.52,20988758,1910558,160785,126629,-7.49,F3
12,29.73,128609734,4326215.49,39002653,2827401,374126,295396,8.03,G5

E6F6C4E7E8C3C2C5C6B2
8,0.09,381335,4434127.91,91086,7288,597,1,16.96,D3
8,0.18,802571,4458727.78,182621,13525,794,12,-17.52,D6
10,0.68,2932746,4338381.66,743513,65299,5294,134,13.49,D3
10,2.11,9109231,4319218.11,2105725,174063,14391,973,-15.50,E3
12,7.69,33250995,4323364.32,8190427,708215,66969,16666,14.34,D3
12,21.82,91638751,4199566.98,21549936,1734128,174284,105164,-14.50,E3

E6F4F3D6G4F6E7F8G7F7
8,0.13,600320,4802560.00,212235,18279,918,11,-24.11,C3
8,0.14,669139,4848833.33,97472,10198,608,1,22.51,F5
10,1.24,5457487,4394111.92,2146011,196582,14252,1239,-23.35,C5
10,3.39,14989638,4423026.85,2690544,288168,26417,2687,21.81,C4
12,11.21,46831883,4176570.32,19586792,1741179,182203,106178,-23.45,C5
12,33.25,139965049,4209728.37,24702733,2647373,272686,255517,21.69,C4

E6F4G3D6C7F5E3F2C3E7
8,0.09,422218,4589326.09,116612,9085,310,3,-5.27,F6
8,0.27,1171931,4308569.85,228590,18319,1288,11,4.31,D3
10,1.17,3709378,3178558.70,1132734,94219,4872,272,-5.80,F6
10,2.91,9300624,3193895.60,1969288,180278,16316,1081,2.86,D3
12,8.50,34460696,4052769.14,11297742,979780,78298,32007,-5.52,F6
12,18.33,78512929,4283068.52,16566759,1670330,157622,96882,2.71,D3

E6F6D3E3G6G7F5G5H7F4
8,0.18,993584,5429420.77,239611,20318,999,10,17.08,F3
8,0.19,949749,5051856.38,222714,18518,1105,12,-15.80,D6
10,1.85,9302033,5017277.78,2426817,232808,17378,1722,17.82,H8
10,1.52,7428802,4884156.48,1917931,185683,16090,1196,-14.75,D6
12,18.66,82410247,4416648.64,22144470,2108825,211776,158971,17.96,E2
12,11.50,49159798,4275136.79,11463482,1342821,141863,62147,-15.74,D6

F5F6D3C5B5F4G4F3G7C2
8,0.13,601710,4775476.19,151716,12240,661,4,-28.28,E6
8,0.23,1121576,4962725.66,195781,16340,1392,7,27.46,G6
10,1.18,5554498,4715193.55,1554190,132247,8205,557,-24.56,E6
10,2.22,10424818,4702218.31,1917434,168827,14965,898,23.45,C4
12,13.83,62655042,4531354.74,18562611,1540028,125237,81119,-24.23,E6
12,25.26,115526406,4574035.16,21079585,1872595,187340,123128,23.23,C4

E6F4F3D6F5E7C5G4C3G2
8,0.22,1142870,5242522.94,187197,15452,1024,7,27.82,C7
8,0.09,508679,5529119.57,113588,8223,443,1,-29.47,B5
10,2.66,12797171,4814586.53,2014247,179803,16180,1040,25.13,E3
10,1.57,7452715,4731882.54,1933573,145814,8191,652,-24.02,C4
12,29.21,133167752,4558978.16,21385406,1852024,187136,119848,25.81,C7
12,11.20,53720929,4795655.15,14246586,1052505,86212,37025,-27.24,C6

F5F4C3D6G4B2E6G3C6E7
8,0.18,934699,5135708.79,178275,14443,1155,5,23.04,F3
8,0.30,1490501,5018521.89,316323,22521,1358,21,-24.37,H4
10,2.07,10220669,4939907.68,1940519,167489,14691,918,21.16,F3
10,2.47,11887697,4820639.50,2868115,227571,16477,1702,-22.74,C5
12,21.15,100259785,4740415.37,19125208,1569825,143889,84025,22.32,F6
12,16.06,74135943,4615036.29,20956936,1645942,141148,93510,-22.57,C5

F5F4C3F6G4F3G3H3F7E6
8,0.15,661289,4379397.35,171379,13503,800,7,-6.53,D6
8,0.10,378743,3864724.49,72371,6938,358,1,4.22,D3
10,1.04,4658763,4483891.24,1415397,124243,9019,507,-6.29,D6
10,0.72,3378210,4678961.22,675511,70815,4771,161,6.27,F8
12,7.42,33174194,4473327.13,11591345,1067510,90420,38041,-6.76,D6
12,6.06,25077931,4137589.67,5135593,579709,45819,11118,5.67,F8

