探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
4,0.01,9760,1220000.00,386,14,0,3.00,C6
4,0.01,9966,1107333.33,350,8,0,24.00,F6
6,0.21,229863,1079169.01,10291,528,4,9.00,F2
6,0.15,161914,1086671.14,7003,412,1,20.00,G3
8,4.15,4196820,1010794.80,191185,12488,1116,15.00,F2
8,3.53,3639435,1030417.61,158889,11681,754,20.00,G3

C5C4E3F4D3C2
4,0.01,8354,1193428.57,336,5,0,21.00,C3
4,0.01,8665,1083125.00,316,5,0,20.00,C6
6,0.15,163186,1110108.84,7561,456,4,17.00,G4
6,0.09,93951,1032428.57,4410,195,0,26.00,H4
8,2.90,3057478,1055394.55,150236,9867,695,14.00,B4
8,2.82,2861845,1015919.42,130401,7883,541,22.00,A4

F4F5E6D3E3F2
4,0.01,13255,1205000.00,509,20,0,27.00,C6
4,0.01,11582,1052909.09,453,6,0,-1.00,C5
6,0.27,293268,1082169.74,12226,795,3,30.00,C6
6,0.22,232476,1047189.19,9466,383,2,2.00,C5
8,5.59,5878489,1051043.98,264304,18716,2160,33.00,C6
8,4.87,4865707,999323.68,214662,12388,1393,-0.00,E7

F4F5G6G3C6C4
4,0.00,2205,2205000.00,105,0,0,35.00,D3
4,0.01,6876,1146000.00,257,6,0,2.00,E3
6,0.04,43227,1080675.00,2198,78,0,29.00,F3
6,0.10,110778,1075514.56,4938,358,2,-1.00,E3
8,0.75,759699,1015640.37,38759,1687,55,33.00,F3
8,2.05,2135895,1040884.50,99372,7374,317,-0.00,E3

C5C6C7E6D6B8
4,0.01,6577,1096166.67,325,7,0,62.00,F6
4,0.00,4050,1350000.00,165,1,0,-18.00,C4
6,0.11,114210,1047798.17,6219,281,0,61.00,F6
6,0.08,84483,1030280.49,4127,216,1,-11.00,C4
8,1.88,1860118,991534.12,103198,6649,331,57.00,F3
8,1.95,2012809,1031152.15,105521,7707,356,-18.00,C4

C5E6F3C4E7G2B3B4D3D6F5G5B6F4G4E2
4,0.04,39343,1092861.11,833,60,0,66.00,D1
4,0.05,41409,881042.55,1107,129,0,-31.00,F8
6,1.03,1029752,1000730.81,28110,3046,25,74.00,A4
6,1.11,1027669,921676.23,31579,4037,23,-40.00,E3
8,23.68,24357885,1028670.34,692158,85567,15044,78.00,A4
8,28.51,25906773,908818.25,814261,99462,20932,-44.00,E3

F4D3C4B5D2D1C5D6B4F5E6A3E3G5A6F6
4,0.03,28778,1106846.15,930,27,0,20.00,C6
4,0.01,7056,1008000.00,240,3,0,22.00,A5
6,0.70,721212,1031776.82,26758,2236,32,20.00,C2
6,0.31,302625,973070.74,11447,716,2,23.00,A5
8,14.48,14840555,1025112.59,608514,62428,11504,26.00,B6
8,5.14,4819286,937421.90,205861,15976,1331,18.00,A5

D6C4F3F4C3C6B6C2B4D3F5B7B2B5B8A6
4,0.01,5814,1162800.00,230,15,0,-90.00,E3
4,0.02,22992,1149600.00,676,29,0,144.00,G6
6,0.15,136288,914684.56,5889,471,0,-97.00,C1
6,0.34,357918,1068411.94,13613,1250,2,144.00,A8
8,3.58,3160288,883749.44,134710,14662,589,-105.00,C1
8,6.95,7205882,1036370.20,309593,36247,2921,154.00,B3

F4D3C6F5D2B7G6D1C2B2B1G5B3G4D6A2
4,0.01,8341,1191571.43,348,19,0,132.00,A8
4,0.01,7413,1059000.00,311,12,0,-105.00,C3
6,0.16,160237,983049.08,7212,548,2,145.00,A8
6,0.16,160141,1020006.37,7237,514,1,-114.00,C4
8,2.91,2794517,959326.12,135116,11808,557,153.00,A8
8,3.26,3260651,999586.45,145256,11777,665,-119.00,C5

D6E6F5C6D3G5B7D2G6E3C2G7C5F4D1A8
4,0.02,17838,1049294.12,515,16,0,-11.00,H6
4,0.01,15096,1006400.00,533,41,0,45.00,G3
6,0.53,491040,928241.97,17090,1600,8,6.00,H6
6,0.27,265705,998890.98,10871,1021,8,32.00,H5
8,11.24,10957067,975175.06,423444,43880,5594,15.00,H6
8,4.49,4333175,964428.00,186772,18235,1047,24.00,C4

C5C4E3E6C6F4G3E2D2F6D3C2B3A2D6G4C1B6C3B2F5H2G5F3C7B5
4,0.04,42487,1062175.00,991,47,0,155.00,D1
4,0.04,32726,909055.56,948,71,0,-125.00,D7
6,1.06,1057047,1000044.47,35299,3002,35,169.00,D1
6,0.87,712995,823319.86,27875,4213,29,-129.00,E1
8,21.82,21924438,1005016.64,836831,99074,22088,178.00,D1
8,17.47,14601426,835800.00,592882,99740,11218,-143.00,E1

D6C4C3C6C5B4C7B7A7C2B6D7F3B8A3B5D3A5C8E2D1F6F5F4D8F2
4,0.01,10100,1122222.22,455,24,0,104.00,C1
4,0.01,6903,986142.86,330,13,0,-50.00,B3
6,0.17,174943,1035165.68,9431,1301,5,108.00,C1
6,0.15,135793,899291.39,6929,663,0,-63.00,F1
8,2.23,2371494,1063927.32,142176,21871,585,118.00,A8
8,1.08,997304,926862.45,53381,4652,91,-87.00,E6

C5C6F4F3E3C4F2G1D2G4B5F6F1G2E6F7G3A5H2H1G7G6G5D3D6H3
4,0.03,30165,914090.91,882,56,0,-91.00,B6
4,0.05,49889,959403.85,1407,108,0,138.00,E1
6,0.75,668601,890280.96,27009,3003,25,-111.00,B6
6,1.21,1178546,970795.72,45693,4435,82,160.00,E1
8,13.35,12095279,906081.28,539440,66452,9145,-128.00,A6
8,18.70,18366254,982257.67,806004,135242,20888,176.00,E1

E3D3C6D6C2F2E2F6E6F3F5D1F7D7C3B3C8G5B1D2C4D8H4G8G6B8
4,0.03,28045,967068.97,924,32,0,40.00,A3
4,0.04,31027,816500.00,995,56,0,13.00,H6
6,0.57,529835,924668.41,23281,2217,13,38.00,C5
6,0.53,496349,931236.40,20487,2012,15,14.00,B5
8,9.46,8689132,918998.63,432973,61771,5851,34.00,C5
8,9.63,8997330,933914.26,411098,48443,5059,14.00,B5

D6C4C3C2B3C5B4A4F3C6A3E6E7A5E3G2F4B5G3F7A6E8D1F6F8G4
4,0.05,52145,965648.15,1393,111,0,158.00,H1
4,0.03,27307,1011370.37,900,87,0,-107.00,G8
6,1.11,1025925,920112.11,38507,5130,44,151.00,D8
6,0.57,522887,923828.62,21393,1798,10,-119.00,D3
8,21.99,20842076,947884.12,856705,130952,23175,175.00,D8
8,9.47,8336623,880505.18,396646,40641,4926,-139.00,D2

C5E6F3C3D3E3F4G5B2B3A3F2G3H4F7A1C1D2C4B6D1B4F5E2E1B1F1D6C6C7A4F6G6G8A2G4
4,0.02,19821,943857.14,897,35,0,2.00,A6
4,0.01,13164,1012615.38,485,24,0,32.00,E7
6,0.36,335737,927450.28,19807,1930,9,14.00,H6
6,0.17,150145,899071.86,8512,817,2,13.00,G1
8,4.56,4223960,927120.28,300668,36504,2769,17.00,H6
8,2.02,1879615,930042.06,122331,17427,466,8.00,B5

F4F5D6C5B6G3F6F3F2G4H2E6H5G6G5F1E2C6C7D7H6G2C8H4E3B8E7C3B2B5C4G7D8D1H1E8
4,0.01,12649,973000.00,643,32,0,145.00,H8
4,0.01,13535,1041153.85,542,60,0,-73.00,B4
6,0.14,130076,956441.18,8583,1337,3,151.00,H8
6,0.15,148630,1004256.76,8853,1634,0,-115.00,B4
8,1.63,1611808,990662.57,112427,19355,391,186.00,H8
8,1.77,1908446,1075180.85,120788,20002,445,-170.00,B4

D6E6F7E7D7C7C5C3E3F6F5B6C4F8A7B4B2D8C6C2E8A1G8G4B8G7H7H8G5H4C1G6D3B7H5A6
4,0.01,9276,1030666.67,421,20,0,-65.00,A5
4,0.01,10123,1124777.78,556,38,0,109.00,A3
6,0.10,111663,1073682.69,6617,775,3,-58.00,A8
6,0.16,181409,1106152.44,10721,1283,2,102.00,B3
8,0.71,730461,1034647.31,61475,6842,119,-75.00,A8
8,1.86,2047393,1098976.38,150983,18090,715,109.00,H6

C5C6F4F5B7G3G6F6E6H7H2D7H6F3G5D3D2A8D6E7B6D1E8H3C7B4F2E3D8F1A7A6H4H5H8F7
4,0.00,3572,1190666.67,245,3,0,167.00,G7
4,0.00,1112,inf,64,3,0,-146.00,G4
6,0.04,43840,1252571.43,3345,264,1,213.00,G7
6,0.01,11334,1259333.33,843,64,0,-234.00,G8
8,0.40,480512,1192337.47,40149,4854,45,326.00,E1
8,0.11,102533,958252.34,10299,789,5,-370.00,G4

E3D3C6D6C3F4E6C7D7E7G3B6D8F3A5C2F2C5C1G2F5G4B7C4F7F1B4A8B5B8H3E2A7G5E1B2
4,0.03,34312,1072250.00,963,137,1,35.00,A1
4,0.02,19996,1052421.05,627,47,0,22.00,A3
6,0.52,534878,1038598.06,24771,4835,32,29.00,A1
6,0.35,351829,1011002.87,15574,2585,6,12.00,A3
8,6.78,6986265,1030270.61,390925,76293,4773,32.00,A1
8,4.03,4065909,1009411.37,250801,43903,1992,8.00,F6

F4F3C5F5G4H3H4C6E6D7H2D3C7F6C8G3D6D8C4H5E2B5A6B7G5H1E7B4A3A4A5H6E8F1F2G6G7E1A8A7G2H8D2B6G8C2
4,0.00,5750,1437500.00,302,22,0,11.00,F7
4,0.00,1812,1812000.00,139,0,0,69.00,E3
6,0.04,49759,1243975.00,4371,633,0,38.00,E3
6,0.01,9086,1135750.00,1080,140,0,33.00,F8
8,0.15,197414,1298776.32,24605,4092,20,38.00,E3
8,0.01,20809,1486357.14,3593,782,1,-2.00,F8

C5C6E3F3F4B5F2G1E2F5G2F1B7C7G4D2G6G5A5H4E1D3H5B6D1E6D7C8F6G3H2E8D8F7H3A6A8C1A7D6E7H1C3H7G7A4
4,0.00,2142,1071000.00,192,16,0,-92.00,F8
4,0.00,1491,1491000.00,143,6,0,129.00,H6
6,0.01,12087,1208700.00,1597,336,0,-114.00,F8
6,0.01,9093,1299000.00,1276,96,0,134.00,H6
8,0.04,51422,1195860.47,9662,2260,4,-121.00,F8
8,0.04,52298,1307450.00,10239,1285,2,188.00,C2

C5E6F4B5E7F3F2F7D6C6E3E2G7G8F6D7B7G3G2C4D1H1A4E1D8H8C3B4G4E8H2H3H4C1D3B6C7A8H7F8G5F5A6G6H6A5
4,0.00,1158,inf,117,4,0,-450.00,B8
4,0.00,2036,2036000.00,197,12,0,466.00,C8
6,0.00,5593,1398250.00,878,77,0,-478.00,C8
6,0.01,12079,1342111.11,1627,184,0,456.00,H5
8,0.02,24121,1340055.56,4955,357,1,-510.00,C8
8,0.04,53170,1399210.53,9346,1169,1,520.00,H5

F4D3C3F3F2G4E3E2G2H2D1D2G3H4E1B3F1C2H1F6B4G1E6B2D6C7G6G7F5C5G8C6E7H6B8F7F8A5C4E8H7C1A4H5A2A3
4,0.00,3277,1092333.33,252,33,0,188.00,A6
4,0.00,974,inf,98,7,0,-109.00,H8
6,0.02,23280,1108571.43,2488,367,0,139.00,A6
6,0.01,6959,1159833.33,884,155,0,-128.00,C8
8,0.14,156334,1116671.43,22182,3997,15,144.00,A1
8,0.05,52139,1133456.52,8745,1510,3,-132.00,G5

