探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
4,0.00,9980,3326666.67,410,14,0,3.00,C6
4,0.00,9127,3042333.33,340,9,0,24.00,F6
6,0.09,220559,2450655.56,10041,757,2,9.00,F2
6,0.08,193392,2544631.58,8139,580,1,20.00,G3
8,2.10,3819159,1818647.14,174192,14993,878,15.00,F2
8,2.42,4666858,1926861.27,193019,19864,1107,20.00,G3
10,38.45,68639052,1785058.05,2933168,298336,296697,19.00,F2
10,54.95,104034067,1893284.08,3603818,523793,458881,14.00,H7

C5C4E3F4D3C2
4,0.00,6644,3322000.00,309,3,0,21.00,C3
4,0.00,7794,2598000.00,291,6,0,20.00,C6
6,0.06,151411,2566288.14,7598,475,1,17.00,G4
6,0.03,87339,2568794.12,4085,149,0,26.00,H4
8,1.52,2958039,1948642.29,144396,11622,665,14.00,B4
8,1.74,3176373,1829707.95,145213,10790,613,22.00,A4
10,31.09,59124214,1902017.50,2595691,272179,226801,19.00,C3
10,48.45,87655044,1809260.32,3249841,376597,367804,17.00,C6

F4F5E6D3E3F2
4,0.01,15475,3095000.00,551,24,0,27.00,C6
4,0.00,12177,3044250.00,412,16,0,-1.00,C5
6,0.14,341972,2374805.56,13994,1303,2,30.00,C6
6,0.10,265622,2529733.33,10685,788,2,2.00,C5
8,3.93,7532590,1914740.72,328371,35227,3293,33.00,C6
8,2.84,5121502,1801442.84,225198,20019,1610,-0.00,E7
10,77.42,145680991,1881575.60,5493127,711979,1186327,34.00,F6
10,31.76,55426052,1744933.01,2628428,274017,232537,-1.00,E7

F4F5G6G3C6C4
4,0.00,2292,2292000.00,113,0,0,35.00,D3
4,0.00,6447,3223500.00,266,4,0,2.00,E3
6,0.01,37854,2523600.00,1947,48,0,29.00,F3
6,0.06,146869,2532224.14,6412,457,0,-1.00,E3
8,0.43,784967,1825504.65,40285,2453,56,33.00,F3
8,1.42,2665450,1873120.17,124993,11926,471,-0.00,E3
10,8.54,15252664,1786653.86,741535,61846,16700,33.00,F3
10,23.16,42896386,1852255.54,1943389,200510,123555,4.00,E3

C5C6C7E6D6B8
4,0.00,6165,3082500.00,281,3,0,62.00,F6
4,0.00,4770,4770000.00,193,1,0,-18.00,C4
6,0.05,116965,2542717.39,6365,334,0,61.00,F6
6,0.03,85216,2582303.03,4346,256,1,-11.00,C4
8,1.11,1932018,1746851.72,109049,8417,370,57.00,F3
8,1.02,1925365,1878404.88,106452,8098,333,-18.00,C4
10,16.32,28351181,1737311.17,1595255,139625,82049,61.00,F6
10,9.33,17004102,1823300.66,977315,84492,29446,-21.00,C4

C5E6F3C4E7G2B3B4D3D6F5G5B6F4G4E2
4,0.02,50115,2637631.58,916,68,0,66.00,D1
4,0.02,54356,2717800.00,1164,137,0,-31.00,F8
6,0.58,1465447,2526632.76,32333,4373,28,74.00,A4
6,0.54,1406853,2619837.99,40058,5906,60,-40.00,E3
8,17.28,34260652,1983135.68,886367,133002,24677,78.00,A4
8,16.52,26855937,1625760.46,862309,125219,23518,-44.00,E3
10,352.40,686847272,1949072.42,11982187,3073506,9320591,81.00,A4
10,260.02,430845209,1656956.75,10088379,1995473,5471136,-43.00,F6

F4D3C4B5D2D1C5D6B4F5E6A3E3G5A6F6
4,0.01,29308,2664363.64,911,23,0,20.00,C6
4,0.00,6663,3331500.00,226,2,0,22.00,A5
6,0.30,733168,2435774.09,28211,2714,40,20.00,C2
6,0.13,331876,2495308.27,12877,1181,5,23.00,A5
8,8.55,16269557,1902649.63,683916,93802,14769,26.00,B6
8,3.03,5139980,1697483.49,225224,21080,1488,18.00,A5
10,173.05,326454386,1886507.05,9767376,2086578,5041485,25.00,B6
10,57.25,96751920,1689960.35,3883154,500932,544333,16.00,A5

D6C4F3F4C3C6B6C2B4D3F5B7B2B5B8A6
4,0.00,4157,4157000.00,195,12,0,-90.00,E3
4,0.01,16289,2714833.33,599,26,0,144.00,G6
6,0.04,97731,2792314.29,4269,386,0,-97.00,C1
6,0.15,378327,2539107.38,12320,1439,4,144.00,A8
8,1.76,2857467,1618961.47,118581,18246,455,-105.00,C1
8,4.79,9968861,2079879.20,303506,55624,2902,154.00,B3
10,36.93,59810936,1619619.70,2309459,381994,178230,-120.00,E3
10,82.83,169815231,2050066.77,5481636,985208,1191388,175.00,A8

F4D3C6F5D2B7G6D1C2B2B1G5B3G4D6A2
4,0.00,5780,2890000.00,287,13,0,132.00,A8
4,0.00,9459,3153000.00,353,26,0,-105.00,C3
6,0.05,120013,2500270.83,5846,629,3,145.00,A8
6,0.08,203446,2481048.78,8781,796,1,-114.00,C4
8,1.18,2068144,1749698.82,102086,10871,288,153.00,A8
8,2.07,3770450,1821473.43,170214,19072,937,-119.00,C5
10,20.54,35899219,1747941.33,1681892,212004,91962,153.00,A8
10,33.46,60210243,1799469.31,2557919,310609,220125,-121.00,C4

D6E6F5C6D3G5B7D2G6E3C2G7C5F4D1A8
4,0.01,22378,2486444.44,573,20,0,-11.00,H6
4,0.01,23739,2637666.67,696,96,0,45.00,G3
6,0.24,588113,2430219.01,19433,2531,16,6.00,H6
6,0.21,524424,2462084.51,20343,2638,15,32.00,H5
8,6.87,12371220,1801546.53,470964,67268,6951,15.00,H6
8,5.56,9847366,1771746.31,422218,59798,5514,24.00,C4
10,128.18,237468291,1852644.69,7146085,1209240,2203625,19.00,H6
10,104.77,185026502,1766059.31,6503450,1021760,1752779,20.00,H5

C5C4E3E6C6F4G3E2D2F6D3C2B3A2D6G4C1B6C3B2F5H2G5F3C7B5
4,0.02,57341,2730523.81,1185,53,0,155.00,D1
4,0.01,40856,2918285.71,1000,100,1,-125.00,D7
6,0.71,1777033,2488841.74,46972,6253,70,169.00,D1
6,0.38,1010492,2638360.31,32998,5947,44,-129.00,E1
8,26.04,52726654,2024988.63,1490029,278748,72145,178.00,D1
8,16.73,26429564,1580242.99,865073,163374,24448,-143.00,E1
10,457.55,932622290,2038304.81,14146194,5297002,17535366,202.00,D1
10,312.51,497542253,1592094.45,11551986,3600529,8487367,-163.00,D7

D6C4C3C6C5B4C7B7A7C2B6D7F3B8A3B5D3A5C8E2D1F6F5F4D8F2
4,0.00,11797,2949250.00,519,27,0,104.00,C1
4,0.00,9602,3200666.67,374,10,0,-50.00,B3
6,0.09,215519,2506034.88,11146,1416,7,108.00,C1
6,0.13,344032,2730412.70,12299,1491,3,-63.00,F1
8,1.55,3238397,2091987.73,182243,28330,998,118.00,A8
8,0.53,864460,1640341.56,47216,4807,81,-87.00,E6
10,25.98,53901865,2074824.47,2500376,435559,212060,147.00,A8
10,6.64,11211057,1687649.71,630712,73088,12426,-135.00,E6

C5C6F4F3E3C4F2G1D2G4B5F6F1G2E6F7G3A5H2H1G7G6G5D3D6H3
4,0.01,31201,2836454.55,997,86,0,-91.00,B6
4,0.02,47789,2654944.44,1442,95,0,138.00,E1
6,0.30,731252,2397547.54,29005,3624,27,-111.00,B6
6,0.48,1200612,2480603.31,47976,6042,71,160.00,E1
8,7.33,12694541,1732333.65,540330,77939,9262,-128.00,A6
8,13.84,26151183,1889809.44,1120879,232284,41417,176.00,E1
10,124.79,215713569,1728612.62,7609252,1544764,2595247,-140.00,F8
10,84.33,160858203,1907394.44,6466229,1155368,1734637,188.00,C1

E3D3C6D6C2F2E2F6E6F3F5D1F7D7C3B3C8G5B1D2C4D8H4G8G6B8
4,0.01,26838,2683800.00,918,38,0,40.00,A3
4,0.01,36337,2595500.00,1051,73,0,13.00,H6
6,0.23,601150,2580042.92,26000,3496,14,38.00,C5
6,0.24,606553,2527304.17,22577,2873,15,14.00,B5
8,6.84,11742004,1715914.66,538790,83268,9010,34.00,C5
8,6.56,12151106,1851738.19,498427,75146,7604,14.00,B5
