探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
8,0.29,441121,1531670.14,116987,39714,1953,107278,-13.83,F4
8,0.32,475303,1504123.42,142130,41238,2178,129604,12.11,C3
10,4.20,5802109,1380140.10,1687961,545882,40288,1539072,-10.51,F4
10,3.40,4672151,1372144.20,1386383,424235,29696,1256378,8.42,C3
12,40.45,51963677,1284798.54,16186310,4459358,375714,15325246,-7.68,F4
12,34.74,45448546,1308172.99,13527579,3813856,322970,12697549,7.34,G3

E6F6F5D6C4G4G7B3F4G3
8,0.40,682783,1711235.59,129256,57091,3098,120451,-9.59,C5
8,0.34,549301,1596805.23,176090,42480,3233,163218,10.52,C6
10,4.37,6839832,1565895.60,1294734,596377,37186,1196855,-7.81,C5
10,3.83,5411294,1412870.50,1851222,447483,34337,1706618,7.47,C6
12,52.43,76103755,1451447.66,14346631,5740555,470242,14358805,-7.49,F3
12,58.51,78136945,1335400.35,29004059,5653862,575046,27735528,8.03,G5

E6F6C4E7E8C3C2C5C6B2
8,0.12,203896,1657691.06,58829,17975,1423,53813,16.96,D3
8,0.27,420193,1539168.50,115627,35873,1664,106515,-17.52,D6
10,1.12,1660689,1478796.97,508570,155038,12575,460610,13.49,D3
10,3.71,5261213,1419264.36,1387113,469265,30662,1266728,-15.50,E3
12,13.42,18488319,1377361.17,5626650,1665918,136672,5154262,14.34,D3
12,38.33,52033888,1357630.08,14010001,4260172,360465,13325109,-14.50,E3

E6F4F3D6G4F6E7F8G7F7
8,0.28,415019,1503692.03,161307,40880,2028,147642,-24.11,C3
8,0.22,392537,1760255.61,61320,37460,2265,55388,22.51,F5
10,2.81,4026417,1434420.02,1686093,406341,28173,1531355,-23.35,C5
10,6.74,10149499,1505190.42,1865211,967373,76739,1707629,21.81,C4
12,25.91,34889742,1346470.44,15513132,3253635,281942,14332659,-23.45,C5
12,69.63,98486055,1414521.44,17658424,7543177,802232,18426064,21.69,C4

E6F4G3D6C7F5E3F2C3E7
8,0.16,232635,1481751.59,81018,20935,707,74069,-5.27,F6
8,0.39,597373,1531725.64,149795,50384,2931,136614,4.31,D3
10,1.69,2293284,1360192.17,832407,211323,10077,757521,-5.80,F6
10,4.08,5530442,1354172.87,1372116,504719,34195,1243457,2.86,D3
12,18.38,22784642,1239980.52,8653231,2076440,136563,7953367,-5.52,F6
12,41.13,52265840,1270654.71,12451802,4417591,344885,11866877,2.71,D3

E6F6D3E3G6G7F5G5H7F4
8,0.36,586956,1616958.68,164074,54037,3010,150820,17.08,F3
8,0.37,533259,1425826.20,136081,54741,3652,123882,-15.80,D6
10,4.09,5797674,1418217.71,1746907,585842,45499,1588682,17.82,H8
10,3.33,4564421,1371520.73,1279769,503929,34069,1158287,-14.75,D6
12,38.18,50595484,1325113.51,15939922,4676753,461326,15085200,17.96,E2
12,27.75,35507481,1279779.46,8828979,3594022,330353,8306626,-15.74,D6

F5F6D3C5B5F4G4F3G7C2
8,0.24,367766,1558330.51,106561,32305,2163,98549,-28.28,E6
8,0.41,666951,1610992.75,136654,54726,3438,126639,27.46,G6
10,2.65,3683067,1389312.33,1153741,330538,21801,1058222,-24.56,E6
10,4.42,6421304,1452783.71,1327898,550035,36650,1221184,23.45,C4
12,33.70,43669814,1296032.47,14226930,3582635,272344,13424740,-24.23,E6
12,54.04,74949711,1386853.26,15307429,5467587,447312,15112161,23.23,C4

E6F4F3D6F5E7C5G4C3G2
8,0.35,611387,1727081.92,119545,50078,3074,110426,27.82,C7
8,0.17,276683,1656784.43,74749,22716,1408,69637,-29.47,B5
10,4.52,7263356,1606226.45,1359890,584988,39966,1253481,25.13,E3
10,3.06,4133868,1352263.00,1329454,358035,20001,1221303,-24.02,C4
12,50.82,74968156,1475170.33,14329459,5381217,440900,14151018,25.81,C7
12,22.89,31085709,1357988.25,9886781,2511370,191622,9260489,-27.24,C6

F5F4C3D6G4B2E6G3C6E7
8,0.30,500712,1685898.99,116583,41678,2587,107512,23.04,F3
8,0.50,781374,1553427.44,205992,63104,3643,191291,-24.37,H4
10,3.77,5875553,1558088.84,1308013,492652,34337,1200752,21.16,F3
10,4.95,6860264,1385352.18,1996084,596497,37270,1837806,-22.74,C5
12,38.18,54945692,1438971.61,12401834,4251236,332782,11891045,22.32,F6
12,34.39,45970361,1336736.29,15208729,3736040,255280,14348366,-22.57,C5

F5F4C3F6G4F3G3H3F7E6
8,0.22,325606,1466693.69,109814,31819,1781,99945,-6.53,D6
8,0.13,191717,1474746.15,47202,18888,823,42336,4.22,D3
10,1.94,2619115,1349363.73,976790,270303,17495,880113,-6.29,D6
10,1.46,1974298,1350409.03,460213,200640,11165,409737,6.27,F8
12,16.91,21328714,1261009.46,8603877,2132142,149536,7841288,-6.76,D6
12,12.74,15645407,1228439.62,3564690,1628526,106500,3222079,5.67,F8

