探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
4,0.01,11200,1866666.67,456,16,0,3.00,C6
4,0.00,8796,2199000.00,330,9,0,24.00,F6
6,0.12,212640,1728780.49,9446,524,5,9.00,F2
6,0.10,178883,1788830.00,7642,414,0,20.00,G3
8,2.35,3949615,1679972.35,181527,12546,977,15.00,F2
8,2.22,3873715,1744916.67,169967,13281,877,20.00,G3

C5C4E3F4D3C2
4,0.00,6673,2224333.33,313,3,0,21.00,C3
4,0.00,7778,1944500.00,299,5,0,20.00,C6
6,0.08,151213,1844060.98,7591,426,3,17.00,G4
6,0.05,83393,1701897.96,3893,164,0,26.00,H4
8,1.69,2945150,1745791.35,146246,10098,684,14.00,B4
8,1.76,2940298,1665891.22,136887,8531,602,22.00,A4

F4F5E6D3E3F2
4,0.01,14938,2134000.00,538,18,0,27.00,C6
4,0.01,12327,2054500.00,419,16,0,-1.00,C5
6,0.19,339261,1804579.79,14101,1032,6,30.00,C6
6,0.14,241270,1699084.51,9579,556,1,2.00,C5
8,3.84,6654725,1732099.17,295060,24692,2657,33.00,C6
8,3.04,4989077,1638987.19,217335,14144,1506,-0.00,E7

F4F5G6G3C6C4
4,0.00,2403,2403000.00,115,0,0,35.00,D3
4,0.00,6553,2184333.33,273,6,0,2.00,E3
6,0.02,40816,1774608.70,2032,77,0,29.00,F3
6,0.08,139446,1787769.23,6152,439,0,-1.00,E3
8,0.47,784467,1651509.47,39412,2214,35,33.00,F3
8,1.51,2566564,1696341.04,119647,8904,441,-0.00,E3

C5C6C7E6D6B8
4,0.00,6677,2225666.67,298,5,0,62.00,F6
4,0.00,5053,2526500.00,207,3,0,-18.00,C4
6,0.07,110795,1653656.72,6019,296,0,61.00,F6
6,0.05,82265,1713854.17,4232,251,0,-11.00,C4
8,1.16,1867529,1605785.90,104642,7057,344,57.00,F3
8,1.16,1951829,1685517.27,106589,7173,345,-18.00,C4

C5E6F3C4E7G2B3B4D3D6F5G5B6F4G4E2
4,0.03,48904,1811259.26,907,59,0,66.00,D1
4,0.03,53792,1681000.00,1154,126,0,-31.00,F8
6,0.72,1346345,1869923.61,29373,3138,28,74.00,A4
6,0.70,1088792,1544385.82,31601,4005,36,-40.00,E3
8,16.87,30377774,1800484.47,780491,95259,19037,78.00,A4
8,16.00,24381536,1523941.25,773560,94685,19026,-44.00,E3

F4D3C4B5D2D1C5D6B4F5E6A3E3G5A6F6
4,0.02,29819,1863687.50,905,27,0,20.00,C6
4,0.00,6091,2030333.33,207,2,0,22.00,A5
6,0.43,754206,1753967.44,29302,2659,31,20.00,C2
6,0.21,339727,1617747.62,13166,985,7,23.00,A5
8,10.33,17734038,1716751.02,738649,86331,17176,26.00,B6
8,3.40,5236817,1539787.42,224636,17217,1550,18.00,A5

D6C4F3F4C3C6B6C2B4D3F5B7B2B5B8A6
4,0.00,5387,1795666.67,245,13,0,-90.00,E3
4,0.01,14599,2085571.43,546,24,0,144.00,G6
6,0.10,149931,1514454.55,6433,505,2,-97.00,C1
6,0.18,346802,1926677.78,12609,1109,5,144.00,A8
8,2.26,3344769,1478677.72,139688,17814,658,-105.00,C1
8,4.14,7792087,1882601.35,288286,36243,2654,154.00,B3

F4D3C6F5D2B7G6D1C2B2B1G5B3G4D6A2
4,0.00,6258,2086000.00,307,16,0,132.00,A8
4,0.00,9249,2312250.00,344,22,0,-105.00,C3
6,0.08,129194,1614925.00,6302,531,1,145.00,A8
6,0.10,174276,1725504.95,7310,505,3,-114.00,C4
8,1.42,2234060,1571068.92,109114,9781,352,153.00,A8
8,2.15,3595261,1668334.57,157512,13398,772,-119.00,C5

D6E6F5C6D3G5B7D2G6E3C2G7C5F4D1A8
4,0.01,21120,1920000.00,528,18,0,-11.00,H6
4,0.01,22281,1713923.08,628,45,0,45.00,G3
6,0.31,521001,1686087.38,17198,2079,9,6.00,H6
6,0.31,516099,1681104.23,18798,1461,16,32.00,H5
8,6.74,11123995,1651424.44,407774,46221,5084,15.00,H6
8,6.04,9745930,1614633.86,395951,41508,4873,24.00,C4

C5C4E3E6C6F4G3E2D2F6D3C2B3A2D6G4C1B6C3B2F5H2G5F3C7B5
4,0.03,59584,1922064.52,1220,55,0,155.00,D1
4,0.02,33202,1509181.82,868,85,0,-125.00,D7
6,0.86,1581104,1834227.38,43121,4469,57,169.00,D1
6,0.66,935170,1414780.64,31207,4919,30,-129.00,E1
8,20.59,36426238,1768693.28,1112570,154580,39076,178.00,D1
8,12.84,17745419,1382149.62,696799,114186,15719,-143.00,E1

D6C4C3C6C5B4C7B7A7C2B6D7F3B8A3B5D3A5C8E2D1F6F5F4D8F2
4,0.01,11812,1968666.67,519,27,0,104.00,C1
4,0.00,6113,1528250.00,304,10,0,-50.00,B3
6,0.11,193306,1773449.54,10168,1320,7,108.00,C1
6,0.08,117755,1490569.62,6123,593,0,-63.00,F1
8,1.50,2737529,1831123.08,152482,23690,704,118.00,A8
8,0.62,898511,1449211.29,48883,4276,89,-87.00,E6

C5C6F4F3E3C4F2G1D2G4B5F6F1G2E6F7G3A5H2H1G7G6G5D3D6H3
4,0.02,30905,1716944.44,947,76,0,-91.00,B6
4,0.03,53422,1571235.29,1610,104,0,138.00,E1
6,0.44,659872,1506557.08,27177,3213,22,-111.00,B6
6,0.79,1271301,1605178.03,50241,4667,75,160.00,E1
8,7.53,11560623,1535887.21,507672,61040,8264,-128.00,A6
8,13.05,21843911,1674119.48,954433,151872,29380,176.00,E1

E3D3C6D6C2F2E2F6E6F3F5D1F7D7C3B3C8G5B1D2C4D8H4G8G6B8
4,0.02,25819,1358894.74,885,26,0,40.00,A3
4,0.02,34982,1749100.00,1005,69,0,13.00,H6
6,0.34,541393,1569255.07,22183,1873,19,38.00,C5
6,0.40,640855,1622417.72,22536,2336,22,14.00,B5
8,6.04,9484619,1569521.60,435134,53337,5814,34.00,C5
8,7.42,12201936,1644687.42,491397,63103,7556,14.00,B5

D6C4C3C2B3C5B4A4F3C6A3E6E7A5E3G2F4B5G3F7A6E8D1F6F8G4
4,0.03,43135,1659038.46,1254,127,0,158.00,H1
4,0.02,26704,1570823.53,901,95,0,-107.00,G8
6,0.51,857387,1684453.83,32235,5792,34,151.00,D8
6,0.39,628932,1616791.77,22288,1612,14,-119.00,D3
8,8.69,14921084,1716250.75,618953,103193,12070,175.00,D8
8,8.30,12783732,1539281.40,542202,55301,9080,-139.00,D2

C5E6F3C3D3E3F4G5B2B3A3F2G3H4F7A1C1D2C4B6D1B4F5E2E1B1F1D6C6C7A4F6G6G8A2G4
4,0.01,18928,1720727.27,809,34,0,2.00,A6
4,0.01,18477,2053000.00,548,41,0,32.00,E7
6,0.19,300220,1547525.77,17084,1469,9,14.00,H6
6,0.12,195809,1631741.67,8875,823,2,13.00,G1
8,2.60,4011236,1544565.27,268253,33524,2233,17.00,H6
8,1.55,2478948,1597260.31,142332,20646,595,8.00,B5

F4F5D6C5B6G3F6F3F2G4H2E6H5G6G5F1E2C6C7D7H6G2C8H4E3B8E7C3B2B5C4G7D8D1H1E8
4,0.01,13639,1704875.00,634,35,0,145.00,H8
4,0.01,11900,1983333.33,479,48,0,-73.00,B4
6,0.09,141121,1585629.21,8567,1294,3,151.00,H8
6,0.08,152759,1840469.88,8378,1681,4,-115.00,B4
8,0.94,1555855,1660464.25,102156,16264,292,186.00,H8
8,1.06,1985998,1870054.61,122153,26131,467,-170.00,B4

D6E6F7E7D7C7C5C3E3F6F5B6C4F8A7B4B2D8C6C2E8A1G8G4B8G7H7H8G5H4C1G6D3B7H5A6
4,0.00,5136,1712000.00,348,17,0,-65.00,A5
4,0.00,8131,2032750.00,490,18,0,109.00,A3
6,0.03,55833,1642147.06,4845,490,1,-58.00,A8
6,0.07,122445,1774565.22,8668,1082,4,102.00,B3
8,0.23,377678,1678568.89,37751,4442,31,-75.00,A8
8,0.54,979310,1810184.84,86353,13025,230,109.00,H6

C5C6F4F5B7G3G6F6E6H7H2D7H6F3G5D3D2A8D6E7B6D1E8H3C7B4F2E3D8F1A7A6H4H5H8F7
4,0.00,3737,3737000.00,256,3,0,167.00,G7
4,0.00,1097,inf,62,5,0,-146.00,G4
6,0.02,44228,2106095.24,3554,252,1,213.00,G7
6,0.01,13436,2239333.33,964,74,0,-234.00,G8
8,0.21,436369,2039107.48,37092,4715,44,326.00,E1
8,0.04,75897,1724931.82,7574,576,2,-370.00,G4

E3D3C6D6C3F4E6C7D7E7G3B6D8F3A5C2F2C5C1G2F5G4B7C4F7F1B4A8B5B8H3E2A7G5E1B2
4,0.02,36693,2038500.00,966,120,0,35.00,A1
4,0.01,24280,1618666.67,722,53,0,22.00,A3
6,0.31,572786,1853676.38,23420,4308,23,29.00,A1
6,0.23,395871,1713727.27,17663,2779,7,12.00,A3
8,4.26,7527554,1767861.44,394627,72847,4996,32.00,A1
8,2.54,4346551,1708549.92,253389,45408,1993,8.00,F6

F4F3C5F5G4H3H4C6E6D7H2D3C7F6C8G3D6D8C4H5E2B5A6B7G5H1E7B4A3A4A5H6E8F1F2G6G7E1A8A7G2H8D2B6G8C2
4,0.00,3759,3759000.00,236,12,0,11.00,F7
4,0.00,1947,inf,141,1,0,69.00,E3
6,0.01,30434,2341076.92,2789,360,0,38.00,E3
6,0.00,7857,2619000.00,950,136,0,33.00,F8
8,0.05,105292,2240255.32,13877,2191,5,38.00,E3
8,0.01,21072,2341333.33,3506,733,1,-2.00,F8

C5C6E3F3F4B5F2G1E2F5G2F1B7C7G4D2G6G5A5H4E1D3H5B6D1E6D7C8F6G3H2E8D8F7H3A6A8C1A7D6E7H1C3H7G7A4
4,0.00,1565,1565000.00,163,15,0,-92.00,F8
4,0.00,1410,inf,144,5,0,129.00,H6
6,0.00,9370,2342500.00,1320,318,0,-114.00,F8
6,0.00,8439,2109750.00,1262,114,0,134.00,H6
8,0.02,33665,1870277.78,6901,1493,3,-121.00,F8
8,0.02,41559,2187315.79,8684,1067,2,188.00,C2

C5E6F4B5E7F3F2F7D6C6E3E2G7G8F6D7B7G3G2C4D1H1A4E1D8H8C3B4G4E8H2H3H4C1D3B6C7A8H7F8G5F5A6G6H6A5
4,0.00,1125,inf,115,4,0,-450.00,B8
4,0.00,2095,2095000.00,207,12,0,466.00,C8
6,0.00,5647,2823500.00,881,77,0,-478.00,C8
6,0.01,14716,2102285.71,1779,222,0,456.00,H5
8,0.01,22763,2276300.00,4765,370,1,-510.00,C8
8,0.03,70503,2203218.75,11289,1404,6,520.00,H5

F4D3C3F3F2G4E3E2G2H2D1D2G3H4E1B3F1C2H1F6B4G1E6B2D6C7G6G7F5C5G8C6E7H6B8F7F8A5C4E8H7C1A4H5A2A3
4,0.00,5973,1991000.00,329,43,0,188.00,A6
4,0.00,1208,inf,110,7,0,-109.00,H8
6,0.02,37631,1791952.38,3507,563,0,139.00,A6
6,0.00,8701,2175250.00,1115,131,0,-128.00,C8
8,0.15,285357,1902380.00,37603,6839,27,144.00,A1
8,0.02,44229,1923000.00,7519,1509,1,-132.00,G5

F4F3C5F5G2C4G5H6G3E6H5H2E3G6D6G1G7D2B4C7H7C6F2D3H4B6E2C2A7H3C1C3D7A6G4E1D1B1B2H8B8A5B7D8F6B5
4,0.00,6134,2044666.67,267,14,0,-161.00,F1
4,0.01,10503,2100600.00,437,39,0,191.00,A1
6,0.03,57958,1869612.90,4246,442,0,-141.00,F1
6,0.05,96090,1921800.00,7336,1284,1,171.00,A1
8,0.18,361637,1954794.59,42022,6542,50,-132.00,F1
8,0.23,445328,1979235.56,58356,11878,114,161.00,A1

