探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
4,0.01,11200,2240000.00,456,16,0,3.00,C6
4,0.00,8796,2199000.00,330,9,0,24.00,F6
6,0.12,212640,1742950.82,9446,524,5,9.00,F2
6,0.10,178883,1825336.73,7642,414,0,20.00,G3
8,2.44,3949615,1616706.92,181527,12546,977,15.00,F2
8,2.23,3873715,1740213.39,169967,13281,877,20.00,G3

C5C4E3F4D3C2
4,0.00,6673,2224333.33,313,3,0,21.00,C3
4,0.01,7778,1555600.00,299,5,0,20.00,C6
6,0.08,151213,1800154.76,7591,426,3,17.00,G4
6,0.05,83393,1701897.96,3893,164,0,26.00,H4
8,1.69,2945150,1739604.25,146246,10098,684,14.00,B4
8,1.78,2940298,1649998.88,136887,8531,602,22.00,A4

F4F5E6D3E3F2
4,0.01,14938,2134000.00,538,18,0,27.00,C6
4,0.01,12327,2054500.00,419,16,0,-1.00,C5
6,0.19,339261,1776235.60,14101,1032,6,30.00,C6
6,0.14,241270,1687202.80,9579,556,1,2.00,C5
8,3.83,6654725,1735713.35,295060,24692,2657,33.00,C6
8,3.08,4989077,1617204.86,217335,14144,1506,-0.00,E7

F4F5G6G3C6C4
4,0.00,2403,2403000.00,115,0,0,35.00,D3
4,0.00,6553,2184333.33,273,6,0,2.00,E3
6,0.03,40816,1632640.00,2032,77,0,29.00,F3
6,0.08,139446,1660071.43,6152,439,0,-1.00,E3
8,0.48,784467,1620799.59,39412,2214,35,33.00,F3
8,1.57,2566564,1637883.85,119647,8904,441,-0.00,E3

C5C6C7E6D6B8
4,0.00,6677,2225666.67,298,5,0,62.00,F6
4,0.00,5053,2526500.00,207,3,0,-18.00,C4
6,0.07,110795,1653656.72,6019,296,0,61.00,F6
6,0.05,82265,1713854.17,4232,251,0,-11.00,C4
8,1.18,1867529,1582651.69,104642,7057,344,57.00,F3
8,1.18,1951829,1659718.54,106589,7173,345,-18.00,C4

C5E6F3C4E7G2B3B4D3D6F5G5B6F4G4E2
