探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
4,0.01,9980,1996000.00,410,14,0,3.00,C6
4,0.01,9127,1825400.00,340,9,0,24.00,F6
6,0.13,220559,1709759.69,10041,757,2,9.00,F2
6,0.11,193392,1790666.67,8139,580,1,20.00,G3
8,2.29,3805908,1661968.56,173780,14457,861,15.00,F2
8,2.79,4765276,1709209.47,195303,19801,1100,20.00,G3

C5C4E3F4D3C2
4,0.00,6644,2214666.67,309,3,0,21.00,C3
4,0.00,7794,1948500.00,291,6,0,20.00,C6
6,0.09,151411,1781305.88,7598,475,1,17.00,G4
6,0.05,87339,1679596.15,4085,149,0,26.00,H4
8,1.71,2971788,1740942.00,145339,11672,686,14.00,B4
8,1.92,3151422,1640511.19,145573,10767,644,22.00,A4

F4F5E6D3E3F2
4,0.01,15475,1934375.00,551,24,0,27.00,C6
4,0.01,12177,1739571.43,412,16,0,-1.00,C5
6,0.19,341972,1762742.27,13994,1303,2,30.00,C6
6,0.16,265622,1691859.87,10685,788,2,2.00,C5
8,4.51,7816644,1734719.04,340810,36145,3514,33.00,C6
8,2.99,4847279,1621163.55,212083,17419,1431,-0.00,E7

F4F5G6G3C6C4
4,0.00,2292,2292000.00,113,0,0,35.00,D3
4,0.00,6447,2149000.00,266,4,0,2.00,E3
6,0.02,37854,1720636.36,1947,48,0,29.00,F3
6,0.08,146869,1769506.02,6412,457,0,-1.00,E3
8,0.45,723125,1625000.00,37036,2127,47,33.00,F3
8,1.63,2735259,1683236.31,126860,11493,495,-0.00,E3

C5C6C7E6D6B8
4,0.00,6165,2055000.00,281,3,0,62.00,F6
4,0.00,4770,1590000.00,193,1,0,-18.00,C4
6,0.07,116965,1602260.27,6365,334,0,61.00,F6
6,0.05,85216,1670901.96,4346,256,1,-11.00,C4
8,1.19,1878249,1582349.62,106184,8295,363,57.00,F3
8,1.11,1845101,1654799.10,102004,7251,306,-18.00,C4

C5E6F3C4E7G2B3B4D3D6F5G5B6F4G4E2
4,0.03,50115,1856111.11,916,68,0,66.00,D1
4,0.03,54356,1753419.35,1164,137,0,-31.00,F8
6,0.79,1465447,1852651.07,32333,4373,28,74.00,A4
6,0.93,1406853,1506266.60,40058,5906,60,-40.00,E3
8,17.67,31537586,1785011.66,812272,114667,20648,78.00,A4
8,18.01,26850579,1490787.80,852641,119035,23043,-44.00,E3

F4D3C4B5D2D1C5D6B4F5E6A3E3G5A6F6
4,0.02,29308,1831750.00,911,23,0,20.00,C6
4,0.00,6663,1665750.00,226,2,0,22.00,A5
6,0.42,733168,1745638.10,28211,2714,40,20.00,C2
6,0.21,331876,1587923.44,12877,1181,5,23.00,A5
8,10.20,17313925,1698276.12,728103,98281,16703,26.00,B6
8,3.43,5247724,1529948.69,228194,20293,1529,18.00,A5

D6C4F3F4C3C6B6C2B4D3F5B7B2B5B8A6
4,0.00,4157,2078500.00,195,12,0,-90.00,E3
4,0.01,16289,2036125.00,599,26,0,144.00,G6
6,0.07,97731,1458671.64,4269,386,0,-97.00,C1
6,0.20,378327,1940138.46,12320,1439,4,144.00,A8
8,1.97,2873659,1460192.58,119420,18482,462,-105.00,C1
8,4.06,7629793,1879259.36,269679,42442,2292,154.00,B3

F4D3C6F5D2B7G6D1C2B2B1G5B3G4D6A2
4,0.00,5780,1926666.67,287,13,0,132.00,A8
4,0.01,9459,1891800.00,353,26,0,-105.00,C3
6,0.07,120013,1621797.30,5846,629,3,145.00,A8
6,0.12,203446,1709630.25,8781,796,1,-114.00,C4
8,1.29,2038080,1582360.25,100282,10744,277,153.00,A8
8,2.08,3420988,1647874.76,154399,15438,756,-119.00,C5

D6E6F5C6D3G5B7D2G6E3C2G7C5F4D1A8
4,0.01,22378,1721384.62,573,20,0,-11.00,H6
4,0.01,23739,1826076.92,696,96,0,45.00,G3
6,0.36,588113,1647375.35,19433,2531,16,6.00,H6
6,0.33,524424,1598853.66,20343,2638,15,32.00,H5
8,6.94,11304623,1629377.77,427113,59261,5732,15.00,H6
8,6.15,9667235,1571141.72,411389,54838,5233,24.00,C4

C5C4E3E6C6F4G3E2D2F6D3C2B3A2D6G4C1B6C3B2F5H2G5F3C7B5
4,0.03,57341,1849709.68,1185,53,0,155.00,D1
4,0.03,40856,1459142.86,1000,100,1,-125.00,D7
6,0.97,1777033,1824469.20,46972,6253,70,169.00,D1
6,0.72,1010492,1397637.62,32998,5947,44,-129.00,E1
8,24.05,43547590,1810785.90,1276157,214207,52557,178.00,D1
8,17.29,24402428,1411197.55,861263,152900,24247,-143.00,E1

D6C4C3C6C5B4C7B7A7C2B6D7F3B8A3B5D3A5C8E2D1F6F5F4D8F2
4,0.01,11797,1966166.67,519,27,0,104.00,C1
4,0.01,9602,1600333.33,374,10,0,-50.00,B3
6,0.12,215519,1811084.03,11146,1416,7,108.00,C1
6,0.22,344032,1570922.37,12299,1491,3,-63.00,F1
8,1.58,2855886,1812110.41,160464,24709,773,118.00,A8
8,0.64,940294,1478449.69,51106,4824,95,-87.00,E6

C5C6F4F3E3C4F2G1D2G4B5F6F1G2E6F7G3A5H2H1G7G6G5D3D6H3
4,0.02,31201,1560050.00,997,86,0,-91.00,B6
4,0.03,47789,1592966.67,1442,95,0,138.00,E1
6,0.48,731252,1517120.33,29005,3624,27,-111.00,B6
6,0.75,1200612,1602953.27,47976,6042,71,160.00,E1
8,8.38,12860846,1534340.97,554803,76757,9834,-128.00,A6
8,14.17,23517200,1660115.77,1016286,188868,33839,176.00,E1

E3D3C6D6C2F2E2F6E6F3F5D1F7D7C3B3C8G5B1D2C4D8H4G8G6B8
4,0.02,26838,1677375.00,918,38,0,40.00,A3
4,0.02,36337,1651681.82,1051,73,0,13.00,H6
6,0.40,601150,1518055.56,26000,3496,14,38.00,C5
6,0.38,606553,1617474.67,22577,2873,15,14.00,B5
8,7.05,10629248,1507694.75,481212,75077,7209,34.00,C5
8,8.37,12905841,1541364.03,515148,69913,8227,14.00,B5

D6C4C3C2B3C5B4A4F3C6A3E6E7A5E3G2F4B5G3F7A6E8D1F6F8G4
4,0.03,44019,1693038.46,1271,128,0,158.00,H1
4,0.01,22333,1717923.08,768,85,0,-107.00,G8
6,0.47,773149,1655565.31,29736,6254,30,151.00,D8
6,0.47,695958,1487089.74,25333,2231,17,-119.00,D3
8,8.54,13795945,1616017.92,605388,118663,11795,175.00,D8
8,8.88,12820001,1443531.25,557092,60922,9673,-139.00,D2

C5E6F3C3D3E3F4G5B2B3A3F2G3H4F7A1C1D2C4B6D1B4F5E2E1B1F1D6C6C7A4F6G6G8A2G4
4,0.01,19976,1664666.67,861,46,0,2.00,A6
4,0.01,19104,1469538.46,566,41,0,32.00,E7
6,0.23,335434,1458408.70,19601,1947,9,14.00,H6
6,0.13,219156,1635492.54,9794,1222,3,13.00,G1
8,2.87,4330604,1507345.63,290650,37311,2579,17.00,H6
8,1.76,2802797,1595217.42,154895,23494,740,8.00,B5

F4F5D6C5B6G3F6F3F2G4H2E6H5G6G5F1E2C6C7D7H6G2C8H4E3B8E7C3B2B5C4G7D8D1H1E8
4,0.01,14405,1800625.00,653,40,0,145.00,H8
4,0.01,11445,1635000.00,473,48,0,-73.00,B4
6,0.09,143414,1611393.26,8395,1505,6,151.00,H8
6,0.07,123204,1838865.67,6702,1566,0,-115.00,B4
8,0.83,1369168,1655584.04,89678,17032,251,186.00,H8
8,0.95,1745174,1840900.84,107881,24485,373,-170.00,B4

D6E6F7E7D7C7C5C3E3F6F5B6C4F8A7B4B2D8C6C2E8A1G8G4B8G7H7H8G5H4C1G6D3B7H5A6
4,0.00,4914,1638000.00,336,17,0,-65.00,A5
4,0.00,5997,1999000.00,394,15,0,109.00,A3
6,0.03,40707,1628280.00,3831,476,0,-58.00,A8
6,0.05,94450,1816346.15,7166,1198,1,102.00,B3
8,0.15,241471,1599145.70,27367,3931,13,-75.00,A8
8,0.45,813139,1791055.07,72310,12511,172,109.00,H6

C5C6F4F5B7G3G6F6E6H7H2D7H6F3G5D3D2A8D6E7B6D1E8H3C7B4F2E3D8F1A7A6H4H5H8F7
4,0.00,3476,3476000.00,243,3,0,167.00,G7
4,0.00,904,inf,55,4,0,-146.00,G4
6,0.03,40207,1435964.29,3290,253,1,213.00,G7
6,0.00,9113,2278250.00,716,59,0,-234.00,G8
8,0.22,445421,2006400.90,37028,4785,49,326.00,E1
8,0.04,76421,1819547.62,7559,614,4,-370.00,G4

E3D3C6D6C3F4E6C7D7E7G3B6D8F3A5C2F2C5C1G2F5G4B7C4F7F1B4A8B5B8H3E2A7G5E1B2
4,0.03,38031,1226806.45,1004,155,0,35.00,A1
4,0.01,23721,1824692.31,699,65,0,22.00,A3
6,0.34,624049,1819384.84,25398,5574,20,29.00,A1
6,0.21,365506,1715990.61,16552,3407,7,12.00,A3
8,4.48,7890144,1761586.07,407891,84218,5184,32.00,A1
8,2.98,5063709,1698661.19,290522,53059,2616,8.00,F6

F4F3C5F5G4H3H4C6E6D7H2D3C7F6C8G3D6D8C4H5E2B5A6B7G5H1E7B4A3A4A5H6E8F1F2G6G7E1A8A7G2H8D2B6G8C2
4,0.00,4193,2096500.00,261,19,0,11.00,F7
4,0.00,1737,inf,129,1,0,69.00,E3
6,0.01,29052,2075142.86,2665,417,0,38.00,E3
6,0.00,7089,2363000.00,881,124,0,33.00,F8
8,0.04,101518,2255955.56,13364,2235,7,38.00,E3
8,0.01,19711,2815857.14,3251,739,0,-2.00,F8

C5C6E3F3F4B5F2G1E2F5G2F1B7C7G4D2G6G5A5H4E1D3H5B6D1E6D7C8F6G3H2E8D8F7H3A6A8C1A7D6E7H1C3H7G7A4
4,0.00,1601,inf,158,28,0,-92.00,F8
4,0.00,1410,inf,144,5,0,129.00,H6
6,0.00,7007,2335666.67,976,251,0,-114.00,F8
6,0.00,7537,2512333.33,1158,114,0,134.00,H6
8,0.02,28877,1804812.50,6066,1461,2,-121.00,F8
