探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
12,0.90,6973302,7722372.09,4563,56443,11174,0,134,96,310,36,0,0,0,-0.76,F6
12,1.39,10822248,7769022.25,3031,86824,6959,0,89,395,165,29,0,0,0,-3.93,D3
12,1.69,12749438,7548512.73,152,148459,24370,0,507,1944,315,54,0,0,0,-0.11,C3
12,1.79,13902306,7784045.91,2200,177428,22329,0,728,3183,311,46,0,0,0,-3.32,F4
12,3.25,24844579,7637435.91,5331,306179,51890,0,4029,15636,589,76,0,0,7,0.21,C6
12,2.20,16977967,7710248.41,5959,293655,40577,0,3521,13539,743,79,0,1,19,-2.09,B4
12,2.05,15425766,7513768.14,2350,406355,66379,0,7221,36307,710,93,0,1,11,0.26,A4
12,1.63,12426878,7637909.04,635,381278,56664,0,6926,29486,763,95,0,3,20,-2.89,C7
12,3.00,22736052,7591336.23,11268,552591,96166,0,19402,92989,1348,128,0,8,94,0.09,A5
12,1.73,13124773,7569073.24,6145,459230,77578,0,14526,51510,1147,133,0,11,56,-2.36,A3
12,1.15,8603755,7455593.59,327,604738,105860,0,23972,125500,1371,148,0,10,96,0.44,A2
12,1.44,11112698,7733262.35,1107,523277,89173,0,19180,77006,1202,160,0,17,64,0.61,D2
12,2.38,18175565,7643214.89,157,701929,123548,0,33840,209400,1376,160,0,16,97,-0.84,C8
12,1.55,11857065,7664553.98,2267,588180,110068,0,29149,112441,1402,190,0,26,98,2.36,F7
12,1.77,13303733,7511989.27,3544,769029,138381,0,43591,294261,1606,187,0,27,143,-0.35,D7
12,0.76,5831414,7703321.00,4629,618797,117030,0,33027,132995,1631,222,0,34,134,4.39,D8

E6F6G6F4F3F2C4C3G2E3
12,1.39,11123428,8025561.33,3731,61239,9641,0,161,133,231,28,0,0,0,-26.33,F5
12,3.79,29284140,7732806.97,6736,146881,16275,0,882,1773,396,34,0,0,3,25.89,G4
12,1.51,11969279,7931927.77,3665,132753,24738,0,1113,1329,421,51,0,0,1,-24.57,D3
12,4.92,37756498,7680329.13,3946,334514,50717,0,7018,20204,772,58,0,2,16,24.85,D2
12,1.00,7977930,7946145.42,273,190300,33652,0,1973,3752,441,68,0,1,2,-26.39,H3
12,1.35,10123992,7477098.97,1419,392282,62532,0,10341,32296,924,86,0,2,27,25.59,G3
12,0.61,4761481,7818523.81,3805,222202,40304,0,3114,5855,664,99,0,3,8,-23.88,F1
12,0.82,6058526,7370469.59,420,430805,68499,0,12254,42408,950,104,0,6,29,24.93,E1
12,0.84,6625350,7868586.70,4708,265394,54283,0,6037,9955,974,126,0,7,34,-25.86,E2
