探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
12,1.29,6963715,5410811.97,2435,69506,13981,0,14,0,151,25,0,0,0,-0.76,F6
12,1.76,10992857,6242394.66,3060,104273,11554,0,17,2,181,32,0,0,0,-3.93,D3
12,2.12,13277775,6277907.80,177,188530,34679,0,75,13,156,43,0,0,0,-0.11,C3
12,2.23,14910831,6677488.13,211,221253,32162,0,108,28,187,55,0,0,0,-3.32,F4
12,3.78,24805968,6567637.81,438,383954,72683,0,444,141,181,66,0,0,0,0.21,C6
12,2.60,17138831,6581732.33,1495,370537,52303,0,335,141,304,84,0,0,0,-2.09,B4
12,2.67,17098992,6416132.08,1365,539665,101055,0,968,389,262,84,0,0,0,0.26,A4
12,2.94,17685265,6005183.36,437,534259,82423,0,861,369,321,102,0,0,0,-2.89,C7
12,3.99,25076720,6280170.30,5317,785385,138291,0,2267,1100,690,118,0,0,0,0.09,A5
12,2.47,16223557,6576229.02,4994,671623,119313,0,2078,717,770,138,0,0,0,-2.36,A3
12,2.60,16500796,6339145.60,303,942408,167168,0,3490,1880,713,142,0,0,0,0.44,A2
12,2.09,14058353,6739383.03,1617,788602,141490,0,2915,1147,871,172,0,0,0,0.61,D2
12,2.62,16321088,6229422.90,209,1139390,205423,0,5403,3292,720,160,0,0,0,-0.84,C8
12,2.24,14975422,6676514.49,1960,927719,176988,0,4466,1837,1001,211,0,0,0,2.36,F7
12,3.04,18970056,6246314.13,3912,1364471,236691,0,7710,5615,992,195,0,0,0,-0.35,D7
12,0.90,5998180,6649866.96,4686,982895,187822,0,5040,2185,1282,233,0,0,0,4.39,D8

E6F6G6F4F3F2C4C3G2E3
12,1.92,13752010,7181206.27,5551,74167,13174,0,21,1,286,21,0,0,0,-26.33,F5
12,6.07,41496314,6836295.55,8182,226265,40047,0,179,33,508,31,0,0,0,25.89,G4
12,2.16,15096478,6998830.78,5517,164289,35928,0,103,10,574,38,0,0,0,-24.57,D3
12,7.20,48860570,6789019.04,11885,476698,106769,0,1164,244,1293,53,0,0,0,24.85,D2
12,1.97,13737729,6959335.87,349,262350,50433,0,233,43,598,57,0,0,0,-26.39,H3
12,2.20,14345529,6529599.00,1497,574529,127740,0,1665,440,1417,79,0,0,0,25.59,G3
12,0.66,4388788,6639618.76,5697,298198,62630,0,427,60,903,90,0,0,0,-23.88,F1
12,1.37,8857702,6456051.02,912,646438,140396,0,2057,617,1477,101,0,0,0,24.93,E1
12,0.98,6632787,6754365.58,2807,356447,81284,0,776,101,1118,112,0,0,0,-25.86,E2
12,1.22,7754580,6351007.37,1950,721075,150413,0,2474,848,1572,123,0,0,0,27.65,G5
12,0.39,2574924,6619341.90,1931,380628,89030,0,931,123,1237,135,0,0,0,-25.34,D1
12,1.13,7164839,6318200.18,2042,782584,165416,0,3092,1084,1710,143,0,0,0,26.67,D6
