探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
12,1.40,9295082,6648842.63,3076,23833,3668,0,0,0,156,27,0,0,31,-0.76,F6
12,1.74,11832705,6800405.17,3653,30564,3342,0,2,0,186,28,0,0,27,-3.93,D3
12,2.72,18226491,6708314.69,2612,69430,20617,0,46,1,292,60,0,0,62,-0.11,C3
12,2.36,15598066,6609350.00,445,61413,8894,0,13,0,198,52,0,0,28,-3.32,F4
12,3.93,26350169,6698060.24,1388,123586,35042,0,127,5,344,82,0,0,76,0.21,C6
12,2.74,18256218,6667720.23,2224,101841,15672,0,32,1,327,80,0,0,58,-2.09,B4
12,2.90,18703756,6458479.28,1488,163934,41664,0,177,9,413,100,0,0,94,0.26,A4
12,2.86,18775460,6562551.56,593,150252,23845,0,71,7,343,97,0,0,63,-2.89,C7
12,4.10,26523410,6475441.89,4676,232312,56037,0,329,36,735,129,0,0,175,0.09,A5
12,2.77,18475489,6665039.32,5916,194403,39012,0,203,12,766,129,0,0,158,-2.36,A3
12,2.77,17892653,6468782.72,383,269752,62209,0,404,54,759,153,0,0,177,0.44,A2
12,2.19,14972062,6824093.89,2057,238192,47608,0,283,28,859,164,0,0,181,0.61,D2
12,2.80,17771922,6356195.28,92,319474,69830,0,492,83,762,169,0,0,179,-0.84,C8
12,2.42,16083634,6648877.22,2156,294807,66296,0,550,48,976,202,0,0,211,2.36,F7
12,3.18,20073087,6304361.49,4045,374785,79759,0,691,128,999,204,0,0,236,-0.35,D7
12,1.02,6812309,6705028.54,5047,319279,71758,0,642,61,1193,231,0,0,279,4.39,D8

E6F6G6F4F3F2C4C3G2E3
12,2.08,14904667,7179512.04,4929,29807,4479,0,1,0,221,16,0,0,44,-26.33,F5
12,6.42,44278056,6901193.27,7400,52646,14029,0,19,0,408,23,0,0,84,25.89,G4
12,2.84,20153547,7086338.61,8197,74073,14244,0,13,0,576,45,0,0,131,-24.57,D3
12,4.78,32441133,6782591.05,3656,99393,29374,0,68,3,540,52,0,0,119,24.85,D2
12,2.07,14563790,7035647.34,340,113576,18702,0,33,1,595,61,0,0,134,-26.39,H3
12,2.94,19628183,6685348.43,6407,127712,36017,0,102,7,776,92,0,0,186,25.59,G3
12,0.71,4747902,6696617.77,5133,127907,23056,0,58,1,821,95,0,0,192,-23.88,F1
12,1.66,10833099,6518110.11,1111,148311,39653,0,127,7,834,115,0,0,203,24.93,E1
12,1.11,7299296,6564115.11,2855,153324,32596,0,130,3,1003,115,0,0,232,-25.86,E2
12,1.29,8332143,6449027.09,1647,166992,42313,0,153,10,900,140,0,0,223,27.65,G5
12,0.42,2794294,6684913.88,1837,164457,36158,0,166,5,1096,137,0,0,257,-25.34,D1
12,1.18,7547855,6374877.53,2049,185422,47243,0,213,12,1014,159,0,0,248,26.67,D6
12,1.16,7737432,6687495.25,3043,194934,41715,0,225,10,1181,167,0,0,290,-28.92,C6
12,2.15,13689538,6364266.85,3149,212799,57819,0,360,17,1207,198,0,0,301,27.64,C5
12,0.80,5185847,6490421.78,3902,216757,48598,0,320,15,1332,188,0,0,337,-27.33,B5
12,1.74,10623843,6116202.07,1454,239694,64005,0,449,27,1273,220,0,0,324,27.48,F7

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
12,0.69,3933897,5726196.51,1007,23105,3862,0,1,0,88,18,0,0,17,25.78,E6
12,0.39,2435046,6275891.75,825,23462,3137,0,2,0,77,21,0,0,13,-26.64,F8
12,1.04,5779413,5562476.42,118,53356,10962,0,11,0,104,35,0,0,20,27.18,C8
12,0.14,859086,6136328.57,118,33432,5596,0,7,0,88,40,0,0,16,-24.25,E8
12,0.50,2718424,5425996.01,1162,72058,15400,0,19,0,236,59,0,0,54,28.44,A2
12,0.17,1014641,5899075.58,1494,46242,8697,0,13,0,271,62,0,0,53,-27.45,A6
12,0.13,669698,5035323.31,368,79222,17953,0,28,0,289,84,0,0,70,26.02,A8
12,0.09,509157,5920430.23,140,53193,10435,0,16,1,281,80,0,0,58,-26.97,B7
12,0.28,1425610,5073345.20,920,92157,21161,0,52,0,390,110,0,0,99,27.50,G8
12,0.12,647122,5438000.00,110,63988,14877,0,27,1,310,104,0,0,64,-27.15,G7
12,0.17,837544,5045445.78,491,102796,23031,0,66,0,477,134,0,0,128,25.74,C1
12,0.04,215040,5244878.05,412,68147,16062,0,29,1,428,125,0,0,95,-27.00,B2
12,0.14,706950,4978521.13,544,112381,26764,0,84,0,691,166,0,0,183,25.76,E2
12,0.07,367401,5102791.67,351,77351,18377,0,37,2,544,155,0,0,125,-26.45,F2
12,0.07,314038,4486257.14,348,120015,28683,0,90,0,835,191,0,0,220,25.03,H8
12,0.04,162091,4502527.78,158,82723,21177,0,46,2,601,189,0,0,138,-24.22,F1

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
12,1.46,9342697,6421097.59,4821,43742,8113,0,3,0,391,41,0,0,77,4.93,D3
12,2.21,13658074,6194137.87,3701,48561,7360,0,3,0,270,39,0,0,63,-5.64,B3
12,0.53,3211973,6071782.61,627,66180,12413,0,9,0,420,64,0,0,85,4.99,A6
