探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
12,1.00,6963715,6984669.01,2435,69506,13982,0,13,0,151,25,0,0,0,-0.76,F6
12,1.58,10992857,6966322.56,3060,104270,11556,0,15,5,181,32,0,0,0,-3.93,D3
12,2.16,13277775,6135755.55,177,188527,34665,0,87,18,156,42,0,1,0,-0.11,C3
12,2.29,14910831,6514124.51,211,221252,32194,0,78,27,187,55,0,0,0,-3.32,F4
12,3.89,24805968,6373578.62,438,383966,72641,0,487,128,181,64,0,2,0,0.21,C6
12,2.47,17138831,6927579.22,1495,370556,52328,0,311,121,304,84,0,0,0,-2.09,B4
12,3.22,17098992,5316850.75,1365,539714,100988,0,1032,343,262,82,0,2,0,0.26,A4
12,3.04,17685265,5809876.81,437,534253,82423,0,859,377,321,102,0,0,0,-2.89,C7
12,4.21,25076658,5960698.36,5317,785443,138218,0,2336,1046,680,113,0,5,10,0.09,A5
12,2.67,16223557,6073963.68,4994,671613,119299,0,2089,730,756,130,0,8,14,-2.36,A3
12,2.84,16501519,5810394.01,303,942490,167071,0,3586,1801,702,134,0,8,11,0.44,A2
12,2.14,14058353,6578546.09,1617,788603,141503,0,2894,1154,851,162,0,10,20,0.61,D2
12,2.75,16321088,5941422.64,209,1139502,205291,0,5536,3181,708,151,0,9,12,-0.84,C8
12,2.31,14975418,6488482.67,1960,927716,177001,0,4444,1850,972,191,0,20,29,2.36,F7
12,3.15,18969852,6027916.11,3912,1364598,236666,0,7737,5488,964,180,0,15,28,-0.35,D7
12,0.97,5998180,6209296.07,4686,982907,187807,0,5046,2183,1221,209,0,24,61,4.39,D8

E6F6G6F4F3F2C4C3G2E3
12,1.93,13752010,7129087.61,5551,74165,13182,0,13,3,286,21,0,0,0,-26.33,F5
12,6.20,41496425,6695131.49,8182,226274,40032,0,194,24,502,31,0,0,6,25.89,G4
12,2.23,15096478,6772758.19,5517,164286,35918,0,114,12,572,38,0,0,2,-24.57,D3
12,7.24,48860570,6744971.01,11885,476687,106687,0,1240,261,1214,48,0,5,79,24.85,D2
12,2.06,13735580,6658061.08,349,262342,50429,0,238,43,595,57,0,0,3,-26.39,H3
12,2.23,14345529,6424330.05,1497,574505,127589,0,1810,470,1318,69,0,10,99,25.59,G3
12,0.66,4388788,6680042.62,5697,298192,62638,0,420,58,888,88,0,2,15,-23.88,F1
12,1.40,8857702,6335981.40,912,646424,140259,0,2187,638,1365,89,0,12,112,24.93,E1
12,0.98,6632787,6768150.00,2807,356447,81319,0,742,93,1089,107,0,5,29,-25.86,E2
12,1.24,7754580,6238600.16,1950,721051,150281,0,2599,879,1446,106,0,17,126,27.65,G5
12,0.41,2574924,6311088.24,1931,380627,89086,0,876,116,1199,122,0,13,38,-25.34,D1
12,1.18,7164839,6051384.29,2042,782563,165274,0,3227,1112,1556,118,0,25,154,26.67,D6
12,1.15,7119488,6180111.11,2680,453016,106164,0,1287,205,1285,140,0,22,59,-28.92,C6
12,2.09,12224522,5854656.13,2141,888454,195020,0,4615,1623,1704,140,0,42,190,27.64,C5
12,0.84,4810729,5720248.51,3385,506205,124679,0,1802,297,1429,158,0,24,92,-27.33,B5
12,1.67,9723147,5808331.54,783,989585,218019,0,5753,2205,1744,157,0,44,205,27.48,F7

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
12,0.62,3669211,5889584.27,788,82430,12740,0,23,1,77,18,0,0,0,25.78,E6
12,0.35,2304651,6565957.26,753,43310,7265,0,2,0,79,23,0,0,0,-26.64,F8
12,0.97,5586360,5753202.88,98,201330,50825,0,183,13,90,35,0,0,0,27.18,C8
12,0.13,821359,6175631.58,41,60648,11419,0,7,1,82,40,0,0,0,-24.25,E8
12,0.45,2487542,5491262.69,1171,265643,70030,0,328,45,252,61,0,1,2,28.44,A2
12,0.16,967363,6084044.03,1377,83576,16465,0,25,2,294,59,0,0,1,-27.45,A6
12,0.13,613732,4757612.40,375,285288,77945,0,444,53,313,87,0,2,5,26.02,A8
12,0.09,493420,5607045.45,16,96044,19329,0,36,3,296,75,0,1,1,-26.97,B7
12,0.29,1474497,5119781.25,762,331319,90683,0,643,85,517,113,0,4,11,27.50,G8
12,0.12,606257,5094596.64,110,114771,26227,0,65,4,327,98,0,5,1,-27.15,G7
12,0.15,705674,4673337.75,230,357737,97187,0,745,101,561,141,0,6,12,25.74,C1
12,0.04,201423,5035575.00,358,121963,28332,0,75,4,464,118,0,6,2,-27.00,B2
12,0.13,626519,4746356.06,521,384102,106160,0,934,134,809,163,0,15,28,25.76,E2
12,0.07,333213,4829173.91,334,137805,32719,0,100,6,594,148,0,9,4,-26.45,F2
12,0.07,293234,4312264.71,317,402716,111033,0,1051,149,964,184,0,19,42,25.03,H8
12,0.02,75864,4214666.67,65,142697,34183,0,107,7,620,172,0,10,4,-24.22,F1

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
12,1.48,8779335,5919983.14,4857,107083,17744,0,44,1,490,40,0,0,3,4.93,D3
12,2.10,13347271,6349795.91,2908,195496,27658,0,120,20,261,45,0,0,1,-5.64,B3
12,0.51,3206573,6287398.04,245,161996,28039,0,89,7,501,58,0,0,4,4.99,A6
12,0.73,4023000,5526098.90,1403,270909,44616,0,302,53,400,64,0,2,4,-4.57,F4
12,0.39,2185930,5677740.26,1882,201451,37428,0,161,19,732,81,0,0,11,5.17,F8
12,0.70,3819410,5464105.87,1950,353663,66527,0,667,106,725,85,0,2,11,-4.87,A7
12,0.33,1640794,5017718.65,2114,238690,50629,0,330,35,1105,99,0,2,38,6.09,B8
12,0.11,554340,5180747.66,1698,370503,72603,0,773,123,983,106,0,6,30,-3.88,H2
12,0.10,508910,4893365.38,158,257023,56187,0,413,40,1143,108,0,15,39,8.44,F3
12,0.08,379022,4859256.41,134,386493,77015,0,883,143,1014,117,0,12,34,-8.49,G5
12,0.13,596788,4774304.00,311,285677,64985,0,539,54,1252,139,0,20,45,7.23,H5
12,0.03,125622,4331793.10,331,394266,80282,0,962,150,1079,135,0,22,36,-5.22,H3
12,0.03,112858,4179925.93,27,293326,68463,0,597,59,1260,150,0,26,46,10.22,H4
12,0.01,29595,3699375.00,150,396511,81626,0,991,150,1143,146,0,28,48,-7.21,H6
12,0.01,33644,3364400.00,43,296336,70101,0,628,61,1289,169,0,28,47,14.15,H8
12,0.01,30237,3359666.67,53,399871,82952,0,1026,153,1172,162,0,37,53,-14.79,G6

