探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
10,0.20,1461140,7416954.31,33657,4148,610,846,0,332184,0.92,F6
10,0.46,3392397,7423188.18,56220,9152,1265,1973,0,764854,-2.63,D3
12,1.90,12998423,6841275.26,193824,37112,9298,4451,8,3277980,0.75,F6
12,3.32,24453319,7365457.53,389734,68628,14039,9036,29,5872396,-2.30,F7
14,14.78,105822915,7160356.93,1031908,317812,83296,23438,807,27584395,-0.29,F6
14,27.11,194762114,7184672.94,1965053,608955,124784,50230,1980,52298354,-2.13,F7

E6F6G6F4F3F2C4C3G2E3
10,0.66,5331506,8041487.18,42125,7277,2029,440,0,1351354,-24.44,F5
10,1.35,10416966,7733456.57,119168,9670,3265,643,0,1746677,25.00,G3
12,6.36,50446080,7935516.75,244174,81055,19424,1901,49,13887601,-23.44,F5
12,9.63,72703309,7549668.64,899727,81971,19431,2479,42,12119798,23.57,G3
14,40.06,310015021,7738187.88,1208270,663730,108163,18462,2278,95683700,-21.37,F5
14,94.72,701049066,7401512.57,6932232,842393,235534,29872,4524,120564250,23.11,G3

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
10,0.16,1022951,6515611.46,59815,5626,746,1103,0,166806,22.36,E6
10,0.10,729559,7152539.22,6296,6806,649,922,0,340455,-20.06,F8
12,0.78,4860558,6215547.31,276563,35189,4796,4380,1,942373,25.11,E6
12,0.51,3450517,6819203.56,14852,40883,5242,3242,8,1693385,-25.37,F8
14,4.13,24652637,5966272.27,930503,221510,36584,20261,216,6369052,24.71,E6
14,2.69,17711186,6574308.09,34359,252075,40006,12354,255,9028030,-24.74,F8

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
10,0.47,3337571,7086138.00,48939,14804,4623,3131,1,1101417,7.10,D3
10,0.63,4374556,6910830.96,83410,13732,2894,2556,0,900769,-7.35,F7
12,3.04,20931372,6885319.74,200733,106046,33050,11891,78,7679676,7.91,D3
12,3.30,22473741,6810224.55,482985,87881,19690,8808,50,5000639,-6.61,A6
14,18.40,124522219,6766776.38,624871,777211,231343,52609,4555,50428675,5.63,D3
14,18.12,116730869,6442812.07,1654148,645254,108830,39718,2250,30512268,-5.29,F7

C4C3D3C5B4B3B5E3E6D6B2A4F3C6F6G2C7C2A5A2B1F5C1A1E2E1H1D1G6E7F2G3G4D7F7H6D2H4B7B6F4D8G1A3H3G8C8G5A6H2
10,0.00,3229,3229000.00,303,698,79,106,0,1310,5.30,H5
9,0.00,1364,inf,394,164,12,5,0,324,-4.00,A8
10,0.00,3063,inf,957,407,19,9,0,760,4.00,H5
9,0.00,1364,inf,394,164,12,5,0,324,-4.00,A8
10,0.00,3063,inf,957,406,19,8,0,761,4.00,H5
9,0.00,1364,inf,394,164,12,5,0,324,-4.00,A8

F5D6C6F6F7E3D3G5F2C3C4E7H5F3C7D7E6G4C5B3B4C8G6E2B5A3F4G8E1H7B6G2A2G7H3B7H6B2A1D1C1D2A5C2B8A7H2A8D8A6
10,0.00,3381,inf,161,604,97,118,0,1685,-10.16,B1
9,0.00,2446,inf,772,301,42,3,0,629,10.00,A4
10,0.00,3113,inf,976,406,55,9,0,805,-10.00,B1
9,0.00,2446,inf,772,301,42,3,0,629,10.00,A4
10,0.00,3113,inf,976,405,55,8,0,806,-10.00,B1
9,0.00,2446,inf,772,301,42,3,0,629,10.00,A4

