探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
10,0.12,1066163,8667991.87,1729,25715,3623,83,3,270781,0.92,F6
10,0.30,2577951,8593170.00,1994,57834,16473,166,28,652713,-2.63,D3
12,1.09,9150628,8364376.60,4277,249274,42456,1962,249,2430521,0.75,F6
12,1.72,14783618,8580161.35,2646,415149,72302,5066,601,4033106,-2.30,F7
14,7.99,66888697,8371551.56,8992,1846419,259571,98502,12466,17577590,-0.29,F6
14,13.91,116921411,8404356.74,6626,3399686,538940,324685,38565,33819023,-2.13,F7

E6F6G6F4F3F2C4C3G2E3
10,0.50,4600854,9275915.32,8170,69833,23345,195,49,1197460,-24.44,F5
10,0.96,8699711,9090607.11,7528,85440,33917,264,61,1570555,25.00,G3
12,4.36,39926115,9163671.10,15278,751021,213823,16601,4812,11330560,-23.44,F5
12,6.45,57546130,8926032.26,11090,695781,165840,14304,2868,10500510,23.57,G3
14,29.13,264789431,9090546.24,24949,5250952,1165435,752639,168749,83641739,-21.37,F5
14,59.95,522750137,8720350.60,31296,5632183,1419300,863488,174375,95012099,23.11,G3

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
10,0.10,752633,7307116.50,581,28024,3848,76,2,177242,22.36,E6
10,0.09,742095,7894627.66,497,45252,9291,117,16,313846,-20.06,F8
12,0.50,3500927,6987878.24,874,163422,21016,964,88,877130,25.11,E6
12,0.40,3032239,7561693.27,1196,229511,41621,1787,280,1300863,-25.37,F8
14,2.25,14859039,6609892.79,1983,838619,109267,21882,2402,4062619,24.71,E6
14,2.29,16714734,7314982.06,2603,1376595,243178,56473,9333,7281646,-24.74,F8

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
10,0.24,1883812,7982254.24,2734,66805,19931,233,49,626600,7.10,D3
10,0.39,3121494,8024406.17,1479,84802,18119,254,43,697763,-7.35,F7
12,1.47,11622175,7917012.94,4024,506587,124227,7716,1918,4225058,7.91,D3
12,2.03,15414337,7608261.11,2525,523814,68563,8223,1016,3662221,-6.61,A6
14,9.05,69865019,7721598.03,7901,3356519,669829,316804,66071,26974055,5.63,D3
14,12.15,89236004,7346945.83,3177,3412401,422074,327614,40126,22738434,-5.29,F7

C4C3D3C5B4B3B5E3E6D6B2A4F3C6F6G2C7C2A5A2B1F5C1A1E2E1H1D1G6E7F2G3G4D7F7H6D2H4B7B6F4D8G1A3H3G8C8G5A6H2
10,0.00,2778,inf,861,1037,73,43,0,7,4.00,H5
9,0.00,1196,inf,339,429,42,16,0,2,-4.00,A8
10,0.00,2778,inf,861,1037,73,43,0,7,4.00,H5
9,0.00,1196,inf,339,429,42,16,0,2,-4.00,A8
10,0.00,2778,inf,861,1037,73,43,0,7,4.00,H5
9,0.00,1196,inf,339,429,42,16,0,2,-4.00,A8

F5D6C6F6F7E3D3G5F2C3C4E7H5F3C7D7E6G4C5B3B4C8G6E2B5A3F4G8E1H7B6G2A2G7H3B7H6B2A1D1C1D2A5C2B8A7H2A8D8A6
10,0.00,2881,inf,901,1104,128,25,0,3,-10.00,B1
9,0.00,2241,inf,704,844,99,15,0,2,10.00,A4
10,0.00,2881,inf,901,1103,128,26,0,3,-10.00,B1
9,0.00,2241,inf,704,844,99,15,0,2,10.00,A4
10,0.00,2881,inf,901,1103,128,26,0,3,-10.00,B1
9,0.00,2241,inf,704,844,99,15,0,2,10.00,A4

