探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
12,1.31,7196365,5480856.82,3292,71683,13221,0,12,0,109,20,0,0,0,-0.76,F6
12,1.95,10990279,5636040.51,3129,104257,11541,0,20,4,107,24,0,0,0,-3.93,D3
12,2.43,13279030,5471376.18,218,190710,33911,0,80,11,114,36,0,0,0,-0.11,C3
12,2.66,14910831,5609793.45,211,221245,32168,0,91,23,111,45,0,0,0,-3.32,F4
12,4.63,25512333,5507843.91,2563,390117,74845,0,534,135,223,59,0,0,0,0.21,C6
12,3.07,17138552,5577140.25,1590,370567,52280,0,346,106,182,70,0,0,0,-2.09,B4
12,3.18,17079116,5374171.18,1365,545227,103614,0,1078,374,273,76,0,0,0,0.26,A4
12,3.31,17683584,5347319.02,353,534274,82329,0,940,352,190,87,0,0,0,-2.89,C7
12,4.25,23149616,5443126.26,2744,776018,138825,0,2243,1054,381,106,0,0,0,0.09,A5
12,2.98,16226277,5446887.21,5136,671645,119224,0,2162,703,487,114,0,0,0,-2.36,A3
12,3.50,18596583,5308759.06,310,949344,169672,0,3525,1972,395,126,0,0,0,0.44,A2
12,2.46,14058755,5719591.13,1581,788624,141478,0,2921,1134,542,143,0,0,0,0.61,D2
12,3.28,17371865,5289849.27,408,1155713,209101,0,5668,3487,402,142,0,0,0,-0.84,C8
12,2.66,14976461,5638727.79,1995,927737,176989,0,4460,1827,626,177,0,0,0,2.36,F7
12,3.59,18895717,5261965.19,4510,1379534,240372,0,7865,5798,576,172,0,0,0,-0.35,D7
12,1.05,5991503,5679149.76,4501,982941,187833,0,5023,2147,788,194,0,0,0,4.39,D8

E6F6G6F4F3F2C4C3G2E3
12,2.26,13743353,6081129.65,5356,74154,13174,0,11,2,160,16,0,0,0,-26.33,F5
12,7.48,42775662,5717906.96,10339,230192,41171,0,171,29,383,15,0,0,0,25.89,G4
12,2.54,15096478,5950523.45,5517,164271,35911,0,112,14,337,32,0,0,0,-24.57,D3
12,8.54,48862111,5723569.29,12004,480593,107905,0,1137,279,852,33,0,0,0,24.85,D2
12,2.33,13735751,5907849.89,379,262327,50410,0,249,44,350,48,0,0,0,-26.39,H3
12,2.61,14345529,5498477.96,1497,578450,128867,0,1645,451,930,57,0,0,0,25.59,G3
12,0.79,4418418,5592934.18,5397,298363,62533,0,443,65,531,73,0,0,0,-23.88,F1
12,1.63,8857992,5441027.03,947,650370,141529,0,2032,616,965,76,0,0,0,24.93,E1
12,1.17,6633670,5664961.57,2956,356657,81184,0,777,110,680,90,0,0,0,-25.86,E2
12,1.47,7754819,5289781.04,1952,725003,151522,0,2475,840,1019,94,0,0,0,27.65,G5
12,0.46,2578317,5629513.10,2183,380838,88932,0,930,132,764,109,0,0,0,-25.34,D1
12,1.30,7165422,5507626.44,1973,786498,166506,0,3111,1094,1099,111,0,0,0,26.67,D6
12,1.09,7122799,6552712.97,2838,453237,106007,0,1343,212,829,133,0,0,0,-28.92,C6
12,1.94,12089582,6247845.99,1197,891980,195854,0,4516,1611,1183,144,0,0,0,27.64,C5
12,0.75,4809767,6395966.76,3341,506427,124467,0,1898,302,939,152,0,0,0,-27.33,B5
12,1.60,9740803,6088001.88,712,993197,218803,0,5706,2180,1214,161,0,0,0,27.48,F7

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
12,0.65,3678368,5641668.71,1207,82453,12777,0,22,0,56,16,0,0,0,25.78,E6
12,0.37,2280495,6213882.83,859,43049,7288,0,2,0,55,17,0,0,0,-26.64,F8
12,1.01,5586360,5553041.75,98,201345,50889,0,157,18,65,32,0,0,0,27.18,C8
12,0.14,821359,5951876.81,41,60387,11445,0,4,1,57,33,0,0,0,-24.25,E8
12,0.47,2486934,5235650.53,1149,265653,70068,0,328,55,159,53,0,0,0,28.44,A2
12,0.17,967512,5793485.03,1385,83316,16492,0,21,1,194,51,0,0,0,-27.45,A6
12,0.13,614036,4873301.59,430,285292,77987,0,440,69,195,75,0,0,0,26.02,A8
12,0.09,493420,5544044.94,16,95785,19354,0,34,1,196,67,0,0,0,-26.97,B7
12,0.30,1474801,4965659.93,793,331330,90714,0,649,95,336,100,0,0,0,27.50,G8
12,0.11,606509,5320254.39,133,114516,26249,0,68,2,219,91,0,0,0,-27.15,G7
12,0.15,706107,4676205.30,263,357735,97192,0,776,125,365,126,0,0,0,25.74,C1
12,0.04,201423,5035575.00,358,121705,28352,0,80,5,305,110,0,0,0,-27.00,B2
12,0.13,626656,4747393.94,540,384110,106182,0,948,148,554,152,0,0,0,25.76,E2
12,0.07,333476,4904058.82,353,137548,32734,0,112,7,398,136,0,0,0,-26.45,F2
12,0.08,293268,3533349.40,323,402719,111060,0,1060,168,663,174,0,0,0,25.03,H8
12,0.02,75998,4222111.11,64,142437,34189,0,123,7,417,158,0,0,0,-24.22,F1

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
12,1.39,8818520,6357981.25,5148,107199,18247,0,26,5,337,33,0,0,0,4.93,D3
12,2.20,13362442,6079363.97,2983,195626,27776,0,110,14,170,30,0,0,0,-5.64,B3
12,0.54,3193837,5881836.10,286,161946,28611,0,73,14,343,50,0,0,0,4.99,A6
12,0.71,4024853,5668807.04,1509,271039,44765,0,262,46,258,49,0,0,0,-4.57,F4
12,0.38,2191197,5766307.89,2108,201418,38003,0,151,27,493,69,0,0,0,5.17,F8
12,0.68,3819431,5592139.09,1948,353778,66705,0,602,111,487,68,0,0,0,-4.87,A7
12,0.31,1640877,5276131.83,2126,238661,51205,0,319,39,764,87,0,0,0,6.09,B8
12,0.11,554923,5138175.93,1719,370619,72759,0,734,125,674,90,0,0,0,-3.88,H2
12,0.11,509203,4714842.59,176,256982,56751,0,414,56,794,107,0,0,0,8.44,F3
12,0.08,379022,4679283.95,134,386608,77185,0,830,146,698,106,0,0,0,-8.49,G5
12,0.15,596817,4087787.67,317,285627,65540,0,549,79,881,138,0,0,0,7.23,H5
12,0.04,126157,3604485.71,372,394383,80475,0,895,162,742,129,0,0,0,-5.22,H3
12,0.04,112858,3134944.44,27,293276,69029,0,596,84,887,154,0,0,0,10.22,H4
12,0.01,29595,3699375.00,150,396624,81822,0,921,166,793,145,0,0,0,-7.21,H6
12,0.01,34022,3092909.09,57,296291,70689,0,615,87,915,172,0,0,0,14.15,H8
12,0.01,30216,3021600.00,50,399975,83151,0,954,173,813,168,0,0,0,-14.79,G6

