探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
12,1.45,9303635,6434049.10,3451,23833,3669,0,0,0,87,17,0,0,35,-0.76,F6
12,1.85,11851622,6399363.93,4288,30564,3340,0,4,0,105,17,0,0,35,-3.93,D3
12,2.19,13743223,6266859.55,149,54844,8566,0,2,0,90,31,0,0,36,-0.11,C3
12,2.38,15627469,6574450.57,1070,61418,8902,0,9,2,118,36,0,0,39,-3.32,F4
12,4.56,27307873,5987255.65,3683,109815,23815,0,57,4,180,50,0,0,82,0.21,C6
12,3.00,18238076,6089507.85,2255,101832,15664,0,33,5,180,56,0,0,68,-2.09,B4
12,2.98,18624784,6258327.96,1510,149780,30632,0,95,11,216,65,0,0,100,0.26,A4
12,2.81,18790341,6694100.82,775,150256,23829,0,78,10,190,71,0,0,75,-2.89,C7
12,3.90,26457462,6778750.19,3887,218566,45887,0,257,28,323,97,0,0,156,0.09,A5
12,2.71,18468907,6810068.95,6020,194396,38971,0,226,20,422,87,0,0,171,-2.36,A3
12,2.99,20138730,6728610.09,361,259359,52253,0,333,42,336,114,0,0,159,0.44,A2
12,2.12,14974435,7066746.11,2250,238184,47560,0,313,37,465,110,0,0,195,0.61,D2
12,2.69,17575510,6523945.81,196,308768,59818,0,440,73,338,128,0,0,161,-0.84,C8
12,2.30,16099192,6990530.61,2401,294803,66263,0,566,63,535,138,0,0,229,2.36,F7
12,3.13,20098744,6431598.08,5114,364060,69755,0,620,115,478,148,0,0,223,-0.35,D7
12,0.98,6827589,6966927.55,5314,319275,71711,0,672,77,639,156,0,0,300,4.39,D8

E6F6G6F4F3F2C4C3G2E3
12,2.03,14911077,7352602.07,4959,29807,4480,0,0,0,113,12,0,0,44,-26.33,F5
12,6.63,45838739,6912794.30,11411,53454,14115,0,13,0,281,12,0,0,126,25.89,G4
12,2.68,18956696,7083967.12,6111,71693,12867,0,14,1,241,26,0,0,102,-24.57,D3
12,7.38,51923970,7038629.52,12467,119222,39427,0,114,2,596,27,0,0,287,24.85,D2
12,2.05,14610642,7141076.25,361,111257,17232,0,29,5,250,40,0,0,105,-26.39,H3
12,2.25,15291295,6796131.11,1726,142210,46339,0,150,3,651,48,0,0,319,25.59,G3
12,0.82,4810055,5887460.22,5537,125621,21612,0,57,7,386,61,0,0,168,-23.88,F1
12,1.59,9391578,5921549.81,1500,160516,49764,0,174,8,681,65,0,0,337,24.93,E1
12,1.24,7309892,5880846.34,3106,151054,31126,0,142,8,496,76,0,0,211,-25.86,E2
12,1.54,8561688,5559537.66,2890,179603,52437,0,201,14,751,77,0,0,373,27.65,G5
12,0.45,2979001,6605323.73,2122,162398,34858,0,175,15,558,95,0,0,237,-25.34,D1
12,1.32,7985985,6027158.49,1993,198917,57441,0,263,19,804,92,0,0,400,26.67,D6
12,1.20,7742222,6441116.47,3287,192874,40417,0,232,21,598,117,0,0,271,-28.92,C6
12,2.24,13554815,6053959.36,2228,226222,68300,0,405,26,879,120,0,0,441,27.64,C5
12,0.98,5177572,5294040.90,3808,214689,47302,0,315,25,672,131,0,0,316,-27.33,B5
12,1.89,10648692,5640197.03,1584,253126,74497,0,486,39,905,134,0,0,464,27.48,F7

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
12,0.81,3943974,4881155.94,1350,23105,3860,0,3,0,52,12,0,0,23,25.78,E6
12,0.49,2435743,5011816.87,878,23462,3138,0,1,0,50,13,0,0,13,-26.64,F8
12,1.10,5781478,5265462.66,187,53356,10977,0,10,0,63,27,0,0,27,27.18,C8
12,0.15,859629,5769322.15,235,33432,5601,0,2,0,56,27,0,0,16,-24.25,E8
12,0.52,2718507,5197910.13,1185,72057,15410,0,23,1,126,44,0,0,60,28.44,A2
12,0.17,1015050,6114759.04,1547,46240,8703,0,7,2,158,43,0,0,56,-27.45,A6
12,0.13,670244,5039428.57,439,79221,17955,0,40,1,150,62,0,0,78,26.02,A8
12,0.09,509341,5787965.91,188,53191,10440,0,11,3,162,57,0,0,61,-26.97,B7
12,0.28,1425969,5166554.35,974,92155,21166,0,61,2,201,82,0,0,107,27.50,G8
12,0.12,648127,5356421.49,228,63986,14878,0,26,3,182,78,0,0,69,-27.15,G7
12,0.17,852982,4874182.86,617,102930,23114,0,69,6,253,101,0,0,138,25.74,C1
12,0.04,215127,5002953.49,437,68145,16063,0,28,3,245,93,0,0,100,-27.00,B2
12,0.15,707669,4686549.67,621,112514,26847,0,87,7,391,121,0,0,193,25.76,E2
12,0.07,367658,4968351.35,378,77350,18378,0,37,4,322,113,0,0,124,-26.45,F2
12,0.07,314183,4363652.78,391,120148,28761,0,98,7,470,140,0,0,232,25.03,H8
12,0.04,162517,4514361.11,196,82723,21167,0,55,4,356,139,0,0,140,-24.22,F1

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
12,1.53,9353574,6113447.06,5060,43743,8109,0,5,1,221,25,0,0,81,4.93,D3
12,2.24,13678096,6111749.78,3890,48572,7353,0,9,2,144,17,0,0,62,-5.64,B3
12,0.62,3231988,5187781.70,502,66341,12444,0,9,2,226,40,0,0,85,4.99,A6
12,0.82,4421656,5418696.08,1629,70161,11256,0,19,3,210,34,0,0,97,-4.57,F4
