探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,pvハッシュ記録数,pvハッシュヒット数,pv2ndハッシュ記録数,pv2ndハッシュヒット数,pvハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
12,1.20,7196365,5977047.34,3292,71682,13222,0,11,1,109,20,0,0,0,-0.76,F6
12,1.81,10990279,6065275.39,3129,104258,11538,0,23,3,107,24,0,0,0,-3.93,D3
12,2.21,13279030,6016778.43,218,190704,33901,0,91,16,114,36,0,0,0,-0.11,C3
12,2.33,14910831,6404996.13,211,221240,32171,0,91,25,111,45,0,0,0,-3.32,F4
12,3.91,25512333,6521557.52,2563,390126,74803,0,578,124,223,59,0,0,0,0.21,C6
12,2.60,17138552,6591750.77,1590,370543,52260,0,368,128,182,70,0,0,0,-2.09,B4
12,2.65,17079116,6432812.05,1365,545221,103563,0,1137,372,273,76,0,0,0,0.26,A4
12,2.74,17683493,6449122.17,353,534271,82367,0,903,354,190,87,0,0,0,-2.89,C7
12,3.63,23149616,6375548.33,2744,776013,138689,0,2385,1053,381,106,0,0,0,0.09,A5
12,2.48,16229798,6544273.39,5136,671673,119277,0,2112,690,487,114,0,0,0,-2.36,A3
12,2.94,18596583,6321068.32,310,949336,169468,0,3743,1966,395,126,0,0,0,0.44,A2
12,2.10,14058755,6704222.70,1581,788675,141463,0,2939,1098,542,143,0,0,0,0.61,D2
12,2.79,17371865,6230941.54,408,1155671,209024,0,5762,3512,402,142,0,0,0,-0.84,C8
12,2.25,15008482,6667473.12,1995,928086,176930,0,4551,1816,626,177,0,0,0,2.36,F7
12,3.03,18895717,6230041.87,4510,1379439,240199,0,8054,5877,576,172,0,0,0,-0.35,D7
12,0.90,5991503,6642464.52,4501,983280,187767,0,5124,2143,788,194,0,0,0,4.39,D8

E6F6G6F4F3F2C4C3G2E3
12,1.91,13743353,7206792.34,5356,74155,13159,0,26,1,160,16,0,0,0,-26.33,F5
12,6.35,42775662,6736324.72,10339,230190,41124,0,216,33,383,15,0,0,0,25.89,G4
12,2.18,15096478,6924989.91,5517,164276,35905,0,117,10,337,32,0,0,0,-24.57,D3
12,7.18,48862111,6808152.57,12004,480593,107796,0,1236,289,852,33,0,0,0,24.85,D2
12,1.97,13735751,6976003.56,379,262324,50414,0,242,50,350,48,0,0,0,-26.39,H3
12,2.18,14345529,6574486.25,1497,578420,128747,0,1755,491,930,57,0,0,0,25.59,G3
12,0.66,4418418,6704731.41,5397,298355,62506,0,467,76,531,73,0,0,0,-23.88,F1
12,1.38,8857992,6404911.06,947,650293,141395,0,2156,703,965,76,0,0,0,24.93,E1
12,1.00,6633670,6627042.96,2956,356659,81102,0,855,112,680,90,0,0,0,-25.86,E2
12,1.25,7754819,6184066.19,1952,724915,151414,0,2573,938,1019,94,0,0,0,27.65,G5
12,0.39,2578317,6662317.83,2183,380839,88852,0,1006,135,764,109,0,0,0,-25.34,D1
12,1.13,7165422,6335474.80,1973,786412,166471,0,3137,1189,1099,111,0,0,0,26.67,D6
12,1.12,7122799,6353968.78,2838,453232,105942,0,1404,221,829,133,0,0,0,-28.92,C6
