探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
8,0.03,190753,7064925.93,37494,3415,98,0,2.00,F6
8,0.05,355821,7570659.57,55030,5707,126,0,-3.75,G5
10,0.22,1568806,7098669.68,317239,33780,1645,40,0.92,F6
10,0.46,3157327,6804584.05,599014,65866,3223,140,-2.63,D3
12,1.97,13082200,6630613.28,2749029,319882,21013,3289,0.75,F6
12,3.59,23561003,6559299.28,4666436,561585,37210,10127,-2.30,F7

E6F6G6F4F3F2C4C3G2E3
8,0.09,617613,7018329.55,115082,6959,276,4,-25.77,F5
8,0.19,1265695,6768422.46,165505,11294,473,5,26.96,G3
10,0.84,5869569,6979273.48,1232952,81655,4734,205,-24.44,F5
10,1.45,10351252,7143721.19,1374089,100892,7364,341,25.00,G3
12,8.92,63187630,7086198.27,14439821,990363,81159,32609,-23.44,F5
12,14.13,99170390,7018428.17,13335967,1025586,83909,35081,23.57,G3

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
8,0.03,156829,6273160.00,20492,4133,204,0,20.84,E6
8,0.02,144779,7238950.00,55908,6803,459,1,-19.76,F8
10,0.15,915017,6100113.33,133458,30713,2206,29,22.36,E6
10,0.15,977827,6606939.19,380177,53857,5975,100,-20.06,F8
12,0.81,4702596,5770056.44,741825,194300,20182,1226,25.11,E6
12,0.74,4537657,6107209.96,1835747,304761,38700,3210,-25.37,F8

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
8,0.06,395928,7070142.86,92036,10089,1099,2,10.16,D3
8,0.09,606834,6455680.85,85599,10841,1060,1,-9.70,B2
10,0.45,2991738,6618889.38,798744,96059,11389,317,7.10,D3
10,0.63,3905469,6179539.56,611956,99295,9774,297,-7.35,F7
12,3.34,21362851,6401813.31,6233780,793452,101548,21880,7.91,D3
12,3.60,22929764,6376463.85,3841064,701653,70410,16534,-6.61,A6

C4C3D3C5B4B3B5E3E6D6B2A4F3C6F6G2C7C2A5A2B1F5C1A1E2E1H1D1G6E7F2G3G4D7F7H6D2H4B7B6F4D8G1A3H3G8C8G5A6H2
8,0.00,1758,inf,546,391,19,0,5.80,H5
8,0.00,1242,inf,424,349,34,0,-5.30,A8
10,0.00,1159,inf,403,497,15,0,65.00,H5
9,0.00,1192,inf,339,443,42,0,-4.00,A8
10,0.00,2772,inf,861,1081,73,0,4.00,H5
9,0.00,1192,inf,339,443,42,0,-4.00,A8

F5D6C6F6F7E3D3G5F2C3C4E7H5F3C7D7E6G4C5B3B4C8G6E2B5A3F4G8E1H7B6G2A2G7H3B7H6B2A1D1C1D2A5C2B8A7H2A8D8A6
8,0.00,2760,inf,1078,564,64,0,-7.07,B1
8,0.00,2216,inf,851,568,59,0,10.16,A4
10,0.00,1971,inf,672,837,89,0,-65.00,B1
9,0.00,2241,inf,704,860,100,0,10.00,A4
10,0.00,2876,2876000.00,899,1130,128,0,-10.00,B1
9,0.00,2241,inf,704,860,100,0,10.00,A4

