探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4C5D6E7E6F5B6B5G6B3
8,0.08,605255,7963881.58,147891,12110,487,5,2.00,F6
8,0.14,1054562,7586776.98,216038,18367,671,4,-3.75,G5
10,0.78,5692877,7270596.42,1475996,137190,7887,598,0.92,F6
10,1.28,8861819,6917891.49,2039274,191039,11510,1209,-2.63,D3
12,6.21,44588841,7177855.92,12211190,1203869,89914,48796,0.75,F6
12,9.52,67868946,7128342.19,16943407,1664636,137470,96128,-2.30,F7

E6F6G6F4F3F2C4C3G2E3
8,0.12,970663,8022008.26,207778,13002,529,7,-25.77,F5
8,0.43,3320973,7669683.60,512096,29263,1900,39,26.96,G3
10,1.20,9201729,7642632.06,2165158,146441,8724,659,-24.44,F5
10,3.71,28195938,7602032.35,4559077,300219,25180,3020,25.00,G3
12,13.55,102749624,7583557.75,25349526,1682581,144586,97671,-23.44,F5
12,37.01,271643657,7339141.84,44862271,3002643,315911,333918,23.57,G3

F5F6D3G5H5F4E7C2E3C5G6H7D6C6B4B5C3B3A5F3F7C7D7C4B6A7D8A4A3B8
8,0.09,622023,7232825.58,171826,20269,1085,9,20.84,E6
8,0.06,404843,7229339.29,179368,20302,1530,9,-19.76,F8
10,0.71,4684884,6552285.31,1440851,186812,18720,1153,22.36,E6
10,0.43,2895714,6687561.20,1291119,169446,17634,938,-20.06,F8
12,4.77,30104959,6312635.56,10055774,1398622,190408,69798,25.11,E6
12,3.01,19156205,6364187.71,8844923,1272240,146641,56203,-25.37,F8

C4E3F2C5D6C7E6F5D7E2E1G1B5B4A4C8E7A5B6A3F6E8D8D2G3C3C2G7G4C6
8,0.13,935421,7086522.73,273823,25442,3507,25,10.16,D3
8,0.20,1341319,6774338.38,262378,29903,3154,24,-9.70,B2
10,0.99,6750551,6818738.38,2242155,238675,32762,1899,7.10,D3
10,1.45,9591819,6605935.95,1937206,268273,32044,2322,-7.35,F7
12,7.38,49139192,6653919.03,17509185,1954896,283172,139769,7.91,D3
12,10.04,63560520,6328207.89,13462788,2040392,263786,150540,-6.61,A6

C4C3D3C5B4B3B5E3E6D6B2A4F3C6F6G2C7C2A5A2B1F5C1A1E2E1H1D1G6E7F2G3G4D7F7H6D2H4B7B6F4D8G1A3H3G8C8G5A6H2
8,0.00,5833,5833000.00,2006,1233,73,0,5.80,H5
8,0.00,3819,inf,1075,887,93,0,-5.30,A8
10,0.00,5423,5423000.00,1841,2293,116,0,65.00,H5
9,0.00,4083,inf,946,1336,127,0,-4.00,A8
10,0.00,8257,4128500.00,2580,3247,227,0,4.00,H5
9,0.00,4083,inf,946,1336,127,0,-4.00,A8

F5D6C6F6F7E3D3G5F2C3C4E7H5F3C7D7E6G4C5B3B4C8G6E2B5A3F4G8E1H7B6G2A2G7H3B7H6B2A1D1C1D2A5C2B8A7H2A8D8A6
8,0.00,8494,4247000.00,3524,1695,331,0,-7.07,B1
8,0.00,5853,5853000.00,2093,1358,305,0,10.16,A4
10,0.00,9011,4505500.00,2856,3651,513,1,-65.00,B1
9,0.00,5995,5995000.00,1794,2045,406,0,10.00,A4
10,0.00,11734,3911333.33,3603,4598,690,1,-10.00,B1
9,0.00,5995,5995000.00,1794,2045,406,0,10.00,A4

