探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
4,0.00,10270,2567500.00,,,,3.00,C6
4,0.00,9326,3108666.67,,,,24.00,F6
6,0.09,238465,2564139.78,,,,9.00,F2
6,0.08,208525,2542987.80,,,,20.00,G3
8,1.65,4146689,2514668.89,,,,15.00,F2
8,2.19,5482009,2497498.41,,,,20.00,G3

C5C4E3F4D3C2
4,0.00,6699,3349500.00,,,,21.00,C3
4,0.00,7930,2643333.33,,,,20.00,C6
6,0.07,163210,2510923.08,,,,17.00,G4
6,0.04,91493,2614085.71,,,,26.00,H4
8,1.43,3536676,2481877.89,,,,14.00,B4
8,1.61,4024471,2504337.90,,,,22.00,A4

F4F5E6D3E3F2
4,0.01,16083,2297571.43,,,,27.00,C6
4,0.00,12528,3132000.00,,,,-1.00,C5
6,0.16,388876,2492794.87,,,,30.00,C6
6,0.12,295397,2441297.52,,,,2.00,C5
8,3.98,9800136,2463583.71,,,,33.00,C6
8,2.42,5960114,2461839.74,,,,-0.00,E7

F4F5G6G3C6C4
4,0.00,2292,inf,,,,35.00,D3
4,0.00,6519,3259500.00,,,,2.00,E3
6,0.02,39189,2449312.50,,,,29.00,F3
6,0.06,158839,2481859.38,,,,-1.00,E3
8,0.34,851176,2525744.81,,,,33.00,F3
8,1.38,3368968,2441281.16,,,,-0.00,E3

C5C6C7E6D6B8
4,0.00,6245,3122500.00,,,,62.00,F6
4,0.00,4770,4770000.00,,,,-18.00,C4
6,0.05,126973,2539460.00,,,,61.00,F6
6,0.04,90577,2448027.03,,,,-11.00,C4
8,0.90,2222402,2469335.56,,,,57.00,F3
8,0.95,2314465,2433717.14,,,,-18.00,C4

C5E6F3C4E7G2B3B4D3D6F5G5B6F4G4E2
4,0.02,51720,2586000.00,,,,66.00,D1
4,0.02,57317,2605318.18,,,,-31.00,F8
6,0.68,1695922,2486689.15,,,,74.00,A4
6,0.65,1683598,2590150.77,,,,-40.00,E3
8,18.31,44898552,2452132.82,,,,78.00,A4
8,15.61,39882878,2555448.07,,,,-44.00,E3

F4D3C4B5D2D1C5D6B4F5E6A3E3G5A6F6
4,0.01,29798,2483166.67,,,,20.00,C6
4,0.00,6692,3346000.00,,,,22.00,A5
6,0.33,815997,2450441.44,,,,20.00,C2
6,0.15,369181,2528636.99,,,,23.00,A5
8,8.62,20889829,2422290.00,,,,26.00,B6
8,2.43,6144602,2530725.70,,,,18.00,A5

D6C4F3F4C3C6B6C2B4D3F5B7B2B5B8A6
4,0.00,4245,4245000.00,,,,-90.00,E3
4,0.01,16674,2382000.00,,,,144.00,G6
6,0.04,109464,2736600.00,,,,-97.00,C1
6,0.17,420824,2519904.19,,,,144.00,A8
8,1.16,3109488,2692197.40,,,,-105.00,C1
8,6.79,17096328,2519352.79,,,,154.00,B3

F4D3C6F5D2B7G6D1C2B2B1G5B3G4D6A2
4,0.00,5956,2978000.00,,,,132.00,A8
4,0.00,9854,2463500.00,,,,-105.00,C3
6,0.06,137822,2505854.55,,,,145.00,A8
6,0.09,226490,2435376.34,,,,-114.00,C4
8,1.06,2640716,2495950.85,,,,153.00,A8
