探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
4,0.00,10270,3423333.33,,,,3.00,C6
4,0.00,9326,3108666.67,,,,24.00,F6
6,0.07,238465,3179533.33,,,,9.00,F2
6,0.06,208525,3258203.13,,,,20.00,G3
8,1.30,4146689,3194675.65,,,,15.00,F2
8,1.76,5482009,3114777.84,,,,20.00,G3
10,23.17,74052227,3196177.09,,,,19.00,F2
10,48.62,155233283,3192589.58,,,,14.00,H7

C5C4E3F4D3C2
4,0.00,6699,3349500.00,,,,21.00,C3
4,0.00,7930,3965000.00,,,,20.00,C6
6,0.05,163210,3079433.96,,,,17.00,G4
6,0.03,91493,3049766.67,,,,26.00,H4
8,1.12,3536676,3154929.53,,,,14.00,B4
8,1.24,4024471,3237707.96,,,,22.00,A4
10,23.88,75982335,3181440.15,,,,19.00,C3
10,46.16,148178752,3210042.07,,,,17.00,C6

F4F5E6D3E3F2
4,0.01,16083,3216600.00,,,,27.00,C6
4,0.00,12528,3132000.00,,,,-1.00,C5
6,0.13,388876,3062015.75,,,,30.00,C6
6,0.09,295397,3176311.83,,,,2.00,C5
8,3.12,9800136,3141069.23,,,,33.00,C6
8,1.85,5960114,3225169.91,,,,-0.00,E7
10,66.65,209325656,3140764.25,,,,34.00,F6
10,23.37,77321983,3308458.47,,,,-1.00,E7

F4F5G6G3C6C4
4,0.00,2292,inf,,,,35.00,D3
4,0.00,6519,3259500.00,,,,2.00,E3
6,0.01,39189,2612600.00,,,,29.00,F3
6,0.06,158839,2786649.12,,,,-1.00,E3
8,0.27,851176,3211984.91,,,,33.00,F3
8,1.06,3368968,3166323.31,,,,-0.00,E3
10,4.78,15534298,3253256.13,,,,33.00,F3
10,21.52,67240993,3124436.27,,,,4.00,E3

C5C6C7E6D6B8
4,0.00,6245,6245000.00,,,,62.00,F6
4,0.00,4770,4770000.00,,,,-18.00,C4
6,0.04,126973,3341394.74,,,,61.00,F6
6,0.03,90577,3234892.86,,,,-11.00,C4
8,0.68,2222402,3249125.73,,,,57.00,F3
8,0.71,2314465,3255225.04,,,,-18.00,C4
10,10.65,34923258,3279795.08,,,,61.00,F6
10,7.59,24750339,3258767.48,,,,-21.00,C4

