íTçıê[ìx,évçléûä‘,íTçıÉmÅ[Éhêî,íTçıë¨ìx,êÑíËCPUÉXÉRÉA
E3F5G6F3F4D3
4,0.00,10270,3423333.33,3.00
4,0.00,9326,4663000.00,24.00
E3F5G6F3F4D3
6,0.08,238476,2908243.90,9.00
6,0.07,208511,3021898.55,20.00
E3F5G6F3F4D3
8,1.34,4146841,3101601.35,15.00
8,1.75,5481584,3130544.83,20.00
C5C4E3F4D3C2
4,0.00,6699,3349500.00,21.00
4,0.00,7930,3965000.00,20.00
C5C4E3F4D3C2
6,0.05,163210,3138653.85,17.00
6,0.03,91493,3267607.14,26.00
C5C4E3F4D3C2
8,1.12,3536676,3157746.43,14.00
8,1.27,4024471,3166381.59,22.00
F4F5E6D3E3F2
4,0.01,16083,3216600.00,27.00
4,0.00,12528,4176000.00,-1.00
F4F5E6D3E3F2
6,0.12,388876,3136096.77,30.00
6,0.09,295397,3246120.88,2.00
F4F5E6D3E3F2
8,3.14,9800132,3120067.49,33.00
8,1.97,5960114,3025438.58,-0.00
F4F5G6G3C6C4
4,0.00,2292,inf,35.00
4,0.00,6519,3259500.00,2.00
F4F5G6G3C6C4
6,0.01,39189,3265750.00,29.00
6,0.05,158839,3054596.15,-1.00
F4F5G6G3C6C4
8,0.30,851176,2837253.33,33.00
8,1.18,3368968,2862334.75,-0.00
C5C6C7E6D6B8
4,0.00,6245,6245000.00,62.00
4,0.00,4770,4770000.00,-18.00
C5C6C7E6D6B8
6,0.04,126965,3096707.32,61.00
6,0.03,90577,3019233.33,-11.00
C5C6C7E6D6B8
8,0.75,2222254,2970927.81,57.00
8,0.75,2314331,3081665.78,-18.00
C5E6F3C4E7G2B3B4D3D6F5G5B6F4G4E2
4,0.02,51720,3042352.94,66.00
4,0.02,57317,3016684.21,-31.00
C5E6F3C4E7G2B3B4D3D6F5G5B6F4G4E2
6,0.58,1695922,2913955.33,74.00
6,0.55,1683598,3083512.82,-40.00
C5E6F3C4E7G2B3B4D3D6F5G5B6F4G4E2
8,14.87,44898552,3020014.26,78.00
8,12.55,39882878,3177412.21,-44.00
F4D3C4B5D2D1C5D6B4F5E6A3E3G5A6F6
4,0.01,29798,2979800.00,20.00
4,0.00,6692,6692000.00,22.00
F4D3C4B5D2D1C5D6B4F5E6A3E3G5A6F6
6,0.27,815997,3022211.11,20.00
6,0.12,369079,3209382.61,23.00
F4D3C4B5D2D1C5D6B4F5E6A3E3G5A6F6
8,6.93,20889702,3012648.11,26.00
8,1.83,6137597,3361225.08,18.00
D6C4F3F4C3C6B6C2B4D3F5B7B2B5B8A6
4,0.00,4245,4245000.00,-90.00
4,0.01,16674,3334800.00,144.00
D6C4F3F4C3C6B6C2B4D3F5B7B2B5B8A6
6,0.03,109455,3316818.18,-97.00
6,0.14,420824,3049449.28,144.00
D6C4F3F4C3C6B6C2B4D3F5B7B2B5B8A6
8,0.90,3109404,3443415.28,-105.00
8,5.96,17096117,2869920.60,154.00
F4D3C6F5D2B7G6D1C2B2B1G5B3G4D6A2
4,0.00,5956,2978000.00,132.00
4,0.00,9854,3284666.67,-105.00
F4D3C6F5D2B7G6D1C2B2B1G5B3G4D6A2
6,0.04,137822,3281476.19,145.00
6,0.07,226490,3145694.44,-114.00
F4D3C6F5D2B7G6D1C2B2B1G5B3G4D6A2
8,0.82,2640716,3208646.42,153.00
8,1.49,4695152,3157466.04,-119.00
D6E6F5C6D3G5B7D2G6E3C2G7C5F4D1A8
4,0.01,22960,3280000.00,-11.00
4,0.01,25236,3154500.00,45.00
